Token                          Frequency
-----------------------------  ---------
insurance                              1
med                                    1
might                                  1
lost                                   1
have                                   1
finds                                  1
way                                    1
by                                     1
through                                1
its                                    1
been                                   1
doesn’t                                1
of                                     1
on                                     1
exist                                  1
sold                                   1
onto                                   1
is                                     2
however                                1
form                                   1
or                                     1
property                               4
inflated                               1
the                                    2
fire                                   1
owned                                  1
that                                   2
never                                  1
clai                                   1
inventory                              2
an                                     2
previously                             1
claimed                                2
also                                   1
claimant                               1

Totals:                     35        44
