Token                          Frequency
-----------------------------  ---------
to                                     2
they                                   2
second                                 1
both                                   1
diverse                                1
wish                                   1
become                                 1
tactic                                 1
by                                     1
flow                                   1
people                                 2
who                                    1
barriers                               1
of                                     6
barrier                                1
although                               1
are                                    1
basic                                  1
says                                   1
interviewers                           1
central                                1
exchange                               5
these                                  1
be                                     2
respondent                             2
information                            7
goes                                   1
problems                               1
so                                     1
measured                               1
not                                    2
properly                               1
that                                   2
obtain                                 1
importance                             1
often                                  1
word                                   1
this                                   1
ways                                   1
carefully                              1
don’t                                  2
common                                 1
one                                    1
sought                                 1
purpose                                1
rarely                                 1
another                                1
concerned                              1
details                                1
do                                     1
between                                2
too                                    1
frequently                             1
with                                   2
is                                     3
cagey                                  1
communication                          1
backgrounds                            1
a                                      1
equal                                  1
us                                     1
the                                   11
know                                   1
in                                     2
should                                 1
works                                  1
reminds                                1
two                                    1
interviewer                            2
interview                              2
what                                   1
there                                  1
an                                     1
first                                  1
occur                                  1

Totals:                     75       115
