Token                          Frequency
-----------------------------  ---------
to                                     2
transactions                           1
prescription                           1
for                                    2
treatment                              2
excess                                 1
fraud                                  3
physician                              2
of                                     1
patients                               1
given                                  1
care                                   3
2011                                   1
noncovered                             1
financial                              1
services                               1
•                                      5
schemes                                1
at                                     1
unnecessary                            1
abnormally                             1
rates                                  1
the                                    1
health                                 1
in                                     2
cost                                   1
comparison                             1
include                                1
manual                                 1
billed                                 1
infusion                               2
involving                              1
examiners                              1
kickbacks                              1
high                                   1
prescribing                            1
1.1217                                 1
bills                                  3

Totals:                     38        54
