Token                          Frequency
-----------------------------  ---------
to                                     4
provide                                1
by                                     1
fraud                                  2
people                                 1
related                                1
who                                    1
u.s.c                                  1
of                                     4
are                                    1
criminalizes                           2
any                                    3
prevention                             2
false                                  2
misappropriation                       1
prohibits                              1
financial                              1
reports                                1
condition                              1
or                                     4
property                               1
§                                      1
regarding                              1
funds                                  1
crime                                  1
company                                1
solvency                               1
insurance                              6
other                                  1
made                                   1
18                                     1
business                               2
kind                                   1
1033                                   2
regulatory                             1
statements                             2
money                                  1
embezzlement                           1
statute                                1
it                                     2
makes                                  1
a                                      1
agency                                 1
the                                    6
in                                     1
section                                1
anyone                                 1
engaged                                1
an                                     1
certain                                1
act                                    2
also                                   2
actions                                1
premiums                               1

Totals:                     54        85
