Token                          Frequency
-----------------------------  ---------
2009                                   1
external                               5
developed                              1
noted                                  1
awareness                              1
accounting                             1
free                                   1
promoting                              2
laws                                   2
2011                                   5
role                                   7
2010                                   1
adequacy                               3
these                                  1
monitoring                             1
acfe                                   1
shows                                  1
frauds                                 1
further                                1
requested                              1
corrective                             1
each                                   1
review                                 1
continues                              1
assessing                              2
knowledge                              4
unique                                 1
fraudulent                             2
authority                              1
2210—engagement                        1
could                                  1
consider                               2
usually                                1
do                                     1
investigating                          3
anti-fraud                             1
tone                                   1
may                                    4
collectively                           1
detecting                              4
organizations                          1
a                                     14
disasters                              1
manager—the                            1
indicators                             2
i                                      1
standards                              4
expertise                              1
including                              2
red                                    1
unscrupulous                           1
materiality                            1
skepticism—an                          1
strongly                               1
resources                              1
transactions                           5
auditor                                7
competent                              1
communicating                          2
entity                                 1
regulations                            2
by                                     9
plays                                  2
has                                    1
who                                    1
conduct                                1
pertaining                             2
any                                    3
opinion                                1
key                                    1
be                                     8
financial                              9
processes                              2
vital                                  1
mandatory                              1
13.9                                   1
advises                                1
indicating                             1
1210—proficiency                       1
and                                   86
proximity                              1
investigations                         5
executive                              1
involved                               1
detection                              6
examiners                              5
areas                                  2
make                                   1
governance                             6
does                                   1
guidance                               1
department                             1
exercise                               2
understanding                          1
analysis                               1
recommend                              1
business                               1
released                               1
possible                               1
organization                          15
following                              3
statements                             2
questioning                            1
activity                              13
all                                    5
1210.a2                                1
lessons                                1
communication                          1
at                                     4
audit                                 25
as                                     3
expected                               2
topics                                 1
which                                  2
see                                    1
helping                                1
an                                     6
manner                                 1
assessment                             5
manages                                1
suspicious                             1
they                                   1
manager                                1
iia                                    7
discusses                              1
no                                     1
workings                               1
sufficient                             3
of                                    57
abuse                                  1
help                                   1
errors                                 2
periodically                           1
among                                  1
report                                 3
on                                     7
occurrence                             1
activities                             3
nations                                1
programs                               1
exercising                             1
or                                    11
identify                               2
establishing                           2
steps                                  1
board                                  6
regarding                              2
include                                2
varies                                 1
2130—control                           1
accomplishment                         1
managed                                1
committee                              3
skill                                  1
committed                              1
performed                              1
will                                   3
vulnerability                          1
reporting                              2
oversight                              1
measures                               3
different                              1
recovering                             1
evaluate                               9
occupational                           2
1,843                                  1
2120—risk                              1
2060—reporting                         1
probability                            2
2130.a1                                1
safeguarding                           2
counsel                                2
internal                              45
responding                             1
overseeing                             3
improvement                            2
within                                 4
efficiency                             3
design                                 2
closely                                1
apply                                  1
noncompliance                          2
individual                             1
uncover                                2
integrity                              2
reliability                            2
study                                  1
accountability                         1
fraud                                 55
procedures                             2
caused                                 1
related                                1
more                                   2
results                                1
when                                   3
primary                                2
crimes                                 1
action                                 1
developing                             1
investigation                          6
appropriate                            4
such                                   1
assist                                 2
relative                               2
professional                           9
requires                               1
infallibility                          1
corporate                              1
forming                                1
issues                                 2
included                               2
this                                   2
loss                                   2
ethics                                 1
focusing                               1
from                                   2
resolution                             1
includes                               3
affect                                 1
risk                                  10
selected                               1
effectiveness                          9
extent                                 1
relevant                               1
is                                    12
those                                  1
actively                               1
it                                     1
standard                               7
play                                   1
resource                               1
in                                    23
section                                2
organizational                         1
ongoing                                1
objectives                             8
plan                                   3
identification                         1
implementation                         2
suspected                              1
necessary                              1
themselves                             1
also                                   4
found                                  1
www.theiia.org                         2
guide                                 12
discussion                             1
1220—due                               1
manage                                 1
its                                    4
practices                              1
exposures                              3
although                               1
alone                                  1
opportunities                          1
responsibility                         6
serve                                  1
deficiencies                           2
how                                    1
adequate                               1
international                          1
under                                  1
available                              1
nternational                           1
coordinating                           1
1.246                                  1
1.245                                  1
system                                 1
1.244                                  1
1.243                                  1
roles                                  3
recommendations                        1
1.247                                  1
reasonably                             1
assurance                              4
acts                                   1
states                                 1
likelihood                             1
critical                               1
significant                            5
1220.a3                                1
—                                      7
possess                                2
assess                                 1
•                                     23
flags                                  1
previous                               1
competencies                           2
1220.a1                                1
material                               1
reasonable                             2
works                                  1
combined                               1
ippf                                   2
institute                              1
fact                                   1
practice                              11
part                                   1
actions                                1
reflect                                1
respect                                1
to                                    41
relating                               1
detail                                 1
percent                                1
advisories                             1
provide                                1
inner                                  1
perform                                4
identified                             1
must                                  20
auditors                              25
values                                 1
considering                            1
care                                   5
comply                                 2
taken                                  1
retaining                              1
control                                7
however                                1
whose                                  1
prudent                                1
relation                               1
preliminary                            1
cost                                   2
that                                  12
assets                                 3
december                               1
efforts                                1
due                                    3
engagement                             4
legal                                  3
can                                    1
misstatements                          1
outlined                               1
about                                  1
weaknesses                             1
complete                               1
performance                            2
top                                    1
investigators                          2
evidence—in                            1
needed                                 4
2120.a2                                1
2120.a1                                1
learned                                1
increase                               1
weak                                   1
timely                                 1
operations                             5
success                                1
employees                              3
specifically                           2
skills                                 2
waste                                  1
involvement                            1
person                                 1
risks                                  9
for                                   22
imply                                  1
maintaining                            2
whether                                7
significance                           1
are                                    5
accepted                               1
prevention                             8
ippf—practice                          2
preventing                             1
information                            7
continuous                             1
form                                   1
alert                                  2
engagements                            2
prevent                                2
operational                            2
matters                                3
not                                    5
many                                   1
obtain                                 2
addresses                              1
position                               1
might                                  1
2210.a1                                1
conducting                             2
complexity                             1
recommended                            2
ensuring                               1
effective                              5
attitude                               1
typical                                1
contracts                              2
mind                                   1
responsible                            5
cases                                  1
established                            1
contribute                             1
framework                              1
should                                 2
process                                2
appendix                               1
directors                              2
emphasizes                             1
improving                              1
2210.a2                                1
but                                    1
determination                          1
compliance                             2
2110.a1                                1
been                                   2
function                               1
incidents                              1
chief                                  1
work                                   2
systems                                2
hotline                                1
program                                3
responsibilities                      14
even                                   1
fighting                               2
management                            22
senior                                 3
2110—governance                        1
decide                                 1
other                                  9
allow                                  1
have                                   9
achieve                                1
departments                            1
pertain                                2
purpose                                1
because                                1
controls                               7
accidents                              1
during                                 1
tasked                                 1
lists                                  1
find                                   1
detect                                 2
with                                   9
error                                  1
website                                2
skepticism                             1
evaluating                             2
potential                              4
ethics-related                         1
the                                  112
proactively                            1
deals                                  1
manual                                 5
applied                                1
guarantee                              1
benefits                               1
their                                  4
auditing                               4
assisting                              1

Totals:                    455      1532
