Token                          Frequency
-----------------------------  ---------
to                                     5
resources                              1
but                                    1
for                                    3
entity                                 1
particular                             1
mechanism                              1
by                                     4
staffs                                 1
fraud                                  4
maintaining                            1
auditors                               3
of                                     7
are                                    1
given                                  1
principal                              1
primary                                1
only                                   1
commission                             1
elements                               1
carry                                  1
adequacy                               2
responsibility                         2
control                                4
support                                1
consideration                          1
or                                     1
deterring                              1
coso                                   1
establishing                           1
available                              1
and                                    4
not                                    1
that                                   2
system                                 1
company                                2
commensurate                           1
addresses                              1
management                             3
this                                   1
exposure                               2
segments                               1
have                                   1
issue                                  1
state                                  1
departments                            1
well                                   1
aid                                    1
controls                               1
effectiveness                          2
extent                                 1
various                                1
treadway                               1
internal                               9
top                                    1
with                                   3
is                                     2
five                                   1
responsible                            1
deter                                  1
evaluating                             2
rests                                  1
as                                     2
audit                                  1
potential                              2
the                                   16
deterrence                             1
in                                     2
recommending                           1
standards                              1
examining                              1
mission                                1
helping                                1
an                                     1
laid                                   1
necessary                              1
operations                             1
their                                  1
auditing                               1
also                                   1
out                                    2

Totals:                     81       146
