Token                          Frequency
-----------------------------  ---------
constitute                             1
guide                                  1
limited                                1
using                                  1
2007                                   1
control—integrated                     2
external                               1
covering                               1
accounting                             3
its                                    1
over                                   4
nature                                 1
communicate                            1
33-8238                                1
2011                                   3
year                                   1
place                                  1
commission                             1
alone                                  1
responsibility                         3
deficiencies                           2
monitoring                             1
defined                                1
adequate                               1
under                                  1
companies                              2
regard                                 1
available                              1
further                                1
individually                           2
non-systematic                         1
404                                    3
explicit                               1
each                                   2
components                             1
unauthorized                           1
examples                               1
assurance                              3
satisfy                                1
accordance                             3
made                                   1
use                                    1
states                                 2
dispositions                           1
likelihood                             3
resulting                              2
designed                               1
significant                            2
1.210                                  1
locations                              1
could                                  2
substantially                          1
assess                                 1
“                                      1
•                                     26
organizations                          1
…                                      1
a                                     12
deterrence                             1
reasonable                             4
material                               3
selection                              1
top-down                               1
standards                              1
independent                            2
either                                 1
including                              2
accurately                             1
documentation                          1
assert                                 1
testing                                2
public                                 1
reflect                                1
to                                    24
transactions                           7
detail                                 3
recording                              1
auditor                                3
basis                                  1
both                                   1
provide                                4
fiscal                                 1
by                                     4
identified                             2
policies                               2
has                                    2
must                                   4
auditors                               3
pertaining                             2
considering                            1
any                                    5
processing                             2
be                                     2
financial                             13
control                               17
text                                   1
however                                1
http://www.coso.org                    1
maintenance                            1
releases                               1
coso                                   3
providing                              1
size                                   1
and                                   43
recognizing                            1
1.209                                  1
assets                                 2
that                                  12
failure                                1
detection                              2
1.208                                  1
deficiency                             2
’s                                     1
than                                   3
against                                1
containing                             1
examiners                              4
require                                1
guidance                               5
result                                 2
acknowledge                            1
model                                  1
can                                    2
evidence                               1
misstatements                          1
about                                  1
weaknesses                             2
chosen                                 1
tested                                 1
re                                     1
business                               1
following                              1
findings                               1
chapter                                1
generally                              3
statements                             5
treadway                               1
disposition                            1
all                                    1
mitigate                               1
five                                   1
communication                          1
depend                                 1
magnitude                              2
at                                     2
provides                               1
as                                     6
principles                             1
authorizing                            1
units                                  1
topics                                 1
which                                  4
effect                                 1
principles…                            1
sec                                    3
an                                     4
approach                               1
timely                                 1
assessment                            12
specifically                           1
they                                   1
aggregate                              2
risks                                  1
test                                   1
for                                    4
determine                              3
maintaining                            1
addressed                              1
whether                                4
interpretive                           1
sufficient                             2
of                                    53
significance                           2
are                                    5
accepted                               2
prevention                             4
report                                 6
performing                             2
erating                                1
occurrence                             2
only                                   1
on                                     5
activities                             1
http://www.sec.gov/rules/interp/2007/33-8810.pdf         1
choose                                 1
programs                               1
information                            1
structure                              1
support                                1
suitable                               1
op                                     1
preparation                            2
or                                     5
reconciling                            1
establishing                           1
regarding                              1
include                                3
not                                    2
nos                                    1
committee                              1
operating                              2
performed                              2
will                                   1
recorded                               1
disclosure                             1
reporting                              8
addresses                              1
records                                1
evaluate                               4
conducting                             1
additionally                           2
explicitly                             1
purposes                               1
most                                   2
effective                              2
fairly                                 1
acquisition                            1
inconsequential                        1
probability                            1
internal                              20
identifying                            2
end                                    1
covered                                1
deemed                                 1
defining                               1
united                                 1
receipts                               1
established                            2
framework                              6
attestation                            2
process                                1
initiating                             2
additional                             1
account                                1
within                                 1
emphasizes                             1
directors                              1
design                                 3
filed                                  1
but                                    1
being                                  2
permit                                 1
reliability                            1
compliance                             1
remote                                 2
where                                  2
fraud                                  7
used                                   2
procedures                             1
been                                   1
garding                                1
related                                4
differs                                1
more                                   4
provisions                             1
results                                1
parties                                1
july                                   1
misstatement                           4
authorizations                         1
appropriate                            1
issued                                 2
expenditures                           1
assist                                 1
sponsoring                             1
risk-based                             1
statement                              4
environment                            1
company                               15
responsibilities                       4
included                               1
this                                   1
management                            21
release                                1
commonly                               1
sarbanes-oxley                         1
fulfilling                             1
other                                  2
specific                               1
have                                   1
increased                              1
direction                              1
one                                    1
issue                                  1
state                                  1
way                                    1
pertain                                1
from                                   1
applicable                             2
requirements                           1
documenting                            1
recent                                 1
evaluation                             4
risk                                   1
icofr                                 15
controls                              13
effectiveness                          6
full                                   1
considerations                         1
if                                     1
34-47986                               1
with                                   6
is                                    10
application                            1
those                                  1
disclosures                            1
annual                                 2
circumstances                          1
website                                1
evaluating                             1
potential                              3
inquiries                              1
the                                   89
in                                    22
rules                                  2
section                                4
balances                               1
non-routing                            1
manual                                 4
identification                         1
necessary                              1
discussed                              1
act                                    1
their                                  2
also                                   3
found                                  1

Totals:                    326       947
