Token                          Frequency
-----------------------------  ---------
knowing                                1
lower                                  1
holding                                1
for                                    5
no                                     1
higher                                 1
involve                                1
its                                    2
failing                                1
mismatching                            1
of                                    13
time                                   1
help                                   1
valuation                              1
sales                                  1
report                                 1
programmed                             1
sealed                                 1
on                                     3
these                                  1
sold                                   2
or                                     4
revenues                               1
hold                                   1
companies                              6
third                                  1
receiving                              1
include                                1
many                                   1
observed                               1
overstated                             1
relieve                                1
price                                  1
will                                   1
recorded                               2
inflation                              1
some                                   1
different                              1
computer                               1
might                                  2
creation                               1
common                                 1
centers                                1
made                                   1
line                                   1
finally                                1
ocean                                  1
techniques                             2
difficult                              1
instances                              1
shuttled                               1
costs                                  2
acquisition                            1
locations                              1
times                                  1
written                                2
write                                  1
current                                2
usually                                1
bricks                                 1
fake                                   1
products                               1
phony                                  1
held                                   1
observation                            1
schemes                                1
documents                              1
a                                      1
friendly                               1
already                                1
should                                 2
up                                     2
days                                   1
hollow                                 1
inventory                             20
item                                   1
inflate                                1
down                                   2
insert                                 1
to                                    10
methods                                1
stated                                 1
but                                    1
physical                               2
count                                  6
quantities                             1
change                                 1
being                                  1
by                                     4
fraud                                  1
used                                   1
middle                                 1
transit                                1
been                                   1
has                                    1
must                                   1
auditors                               4
balance                                1
values                                 2
results                                1
parties                                1
when                                   1
fictitious                             1
value                                  5
overall                                1
be                                     7
overnight                              1
valued                                 1
reports                                2
except                                 1
such                                   1
so                                     2
consignment                            1
means                                  1
pacific                                1
double                                 1
cost                                   4
owned                                  1
and                                    5
assets                                 1
that                                   4
failure                                1
market                                 2
items                                  1
than                                   1
even                                   2
case                                   1
included                               1
perhaps                                1
this                                   1
large                                  1
other                                  2
bill                                   1
can                                    2
have                                   4
goods                                  3
computer-assisted                      1
during                                 1
if                                     1
incorrectly                            1
altogether                             1
observing                              1
question                               1
placed                                 1
between                                1
detect                                 1
with                                   2
is                                     2
it                                     4
added                                  1
boxes                                  1
at                                     2
audit                                  1
as                                     5
pallets                                1
the                                   18
coconspirators                         1
in                                     8
improperly                             1
manipulation                           1
falsely                                1
unit                                   1
sheets                                 3
which                                  2
instead                                1
off                                    1
determined                             1
special                                1
high                                   1
claim                                  1
significantly                          1
also                                   1
storage                                1
out                                    1

Totals:                    174       320
