Token                          Frequency
-----------------------------  ---------
2008                                   1
to                                     6
transactions                           1
determine                              3
u.s                                    1
by                                     1
fraud                                  2
used                                   1
countries                              1
physician                              1
contacts                               1
07/01/08                               1
of                                     4
medical                                1
are                                    3
would                                  1
e.g                                    1
correct                                1
january                                1
file                                   1
care                                   1
2011                                   1
year                                   1
investigation                          1
proper                                 1
be                                     5
financial                              1
listed                                 1
information                            1
charges                                2
claims                                 1
submit                                 1
letter                                 1
health                                 1
regarding                              1
attending                              1
samples                                1
and                                    1
many                                   1
obtain                                 1
7                                      1
then                                   1
month                                  1
examiners                              1
day                                    1
language                               1
foreign                                1
enforcement                            1
1.1230                                 1
comparing                              1
legitimate                             1
month/day/year                         1
indicate                               1
through                                1
fraudulent                             1
date                                   1
appears                                1
reviewed                               1
bona                                   1
style                                  2
dates                                  1
if                                     4
dating                                 1
law                                    1
is                                     1
with                                   1
•                                      5
may                                    3
it                                     3
check                                  1
a                                      2
the                                   12
legitimacy                             1
should                                 1
in                                     1
manual                                 1
fide                                   1
necessary                              2
tips                                   1
claim                                  3
first                                  1

Totals:                     81       126
