Token                          Frequency
-----------------------------  ---------
to                                     2
they                                   1
manager                                1
said                                   1
impossible                             1
fraud                                  1
been                                   1
who                                    1
function                               1
of                                     2
$1.6                                   1
cover                                  1
are                                    1
his                                    2
would                                  1
rotation                               2
three                                  1
lasted                                 1
detected                               1
had                                    1
continuous                             1
million                                1
or                                     1
job                                    2
frauds                                 1
vacation                               1
company                                2
sickness                               1
require                                1
years                                  1
example                                1
some                                   1
have                                   1
two-week                               1
from                                   1
embezzled                              1
because                                1
unexpected                             1
another                                1
during                                 1
intervention                           1
if                                     1
embezzlement                           1
four                                   1
perpetrator                            1
with                                   1
a                                      2
the                                    2
my                                     1
weeks                                  1
up                                     1
manual                                 1
coupled                                1
absences                               1

Totals:                     54        62
