Token                          Frequency
-----------------------------  ---------
to                                     2
$2.2                                   1
they                                   1
costing                                1
manager                                1
percent                                2
for                                    2
received                               1
33                                     1
been                                   1
whether                                1
restitution                            2
who                                    1
ted                                    1
trea                                   1
of                                     5
were                                   6
more                                   2
scheme                                 1
his                                    2
40                                     1
supposedly                             1
on                                     1
chiropractor                           3
instance                               1
had                                    1
million                                1
claims                                 2
revenues                               1
fines                                  1
submitted                              2
far                                    1
169                                    1
companies                              1
georgia                                1
and                                    9
carriers                               1
earlier                                1
30                                     1
clerk                                  1
than                                   2
medicare                               1
kickbacks                              1
day                                    1
example                                1
each                                   1
bills                                  1
insurance                              1
have                                   1
one                                    2
sentences                              1
former                                 2
14                                     1
paid                                   2
patients                               3
lengthy                                1
sentenced                              2
pay                                    2
treated                                1
millions                               1
all                                    1
regardless                             1
office                                 1
thus                                   1
whatever                               1
a                                      2
dollars                                1
incarcerated                           1
the                                    4
jail                                   1
families                               1
kickback                               1
persons                                2
in                                     4
billing                                1
10                                     1
including                              1
ordered                                2
wife                                   2
their                                  2
employees                              1
week                                   1

Totals:                     82       128
