Token                          Frequency
-----------------------------  ---------
to                                     6
sector                                 1
behalf                                 1
client                                 1
for                                    1
no                                     1
court                                  1
by                                     1
fraud                                  2
has                                    1
whether                                1
who                                    2
witnesses                              1
of                                     6
more                                   1
are                                    1
request                                1
any                                    1
on                                     1
investigation                          1
receives                               1
be                                     2
information                            1
others                                 1
such                                   1
certified                              1
disclose                               2
or                                     3
possibility                            1
agencies                               1
fair                                   1
prosecution                            2
that                                   1
confidentiality                        1
disclosure                             1
legitimately                           1
examiners                              2
disclosed                              1
this                                   1
enforcement                            2
decide                                 1
equivalent                             1
other                                  1
withhold                               2
witness                                1
private                                2
identity                               4
order                                  1
unless                                 1
compelled                              1
investigating                          1
trial                                  1
defendant                              1
ensure                                 1
law                                    2
is                                     2
may                                    3
circumstances                          1
a                                      2
potential                              1
the                                   10
should                                 1
in                                     2
section                                1
informant                              4
manual                                 1
see                                    1
forego                                 1
privilege                              2
an                                     3
there                                  1
necessary                              1

Totals:                     72       117
