Token                          Frequency
-----------------------------  ---------
they                                   1
limited                                1
using                                  1
for                                    1
developed                              1
its                                    1
practices                              2
of                                    10
are                                    1
nature                                 1
e.g                                    1
sales                                  1
behaviors                              2
comprehensive                          1
pending                                1
prevention                             1
only                                   1
2011                                   1
on                                     3
focus                                  1
activities                             1
worth                                  1
information                            1
structure                              1
problems                               1
drugs                                  1
how                                    1
or                                     5
styles                                 1
incentives                             2
expanded                               1
shows                                  1
include                                2
not                                    1
obtain                                 1
operating                              2
alcohol                                1
then                                   1
reduced/eliminated                     1
vulnerability                          1
measures                               1
view                                   1
each                                   2
indicates                              1
tied                                   1
evaluate                               1
conducting                             1
unique                                 1
net                                    1
across                                 1
personal                               1
life                                   1
significant                            1
could                                  1
consider                               1
note                                   1
sensitive                              1
greatly                                1
portion                                1
4.821                                  1
may                                    1
•                                     10
larger                                 1
a                                      7
living                                 1
framework                              1
should                                 3
deterrence                             1
pressures                              2
compensation                           1
either                                 1
including                              1
invested                               1
chart                                  1
interact                               1
part                                   1
macro-level                            1
to                                     7
but                                    1
both                                   1
provide                                1
fraud                                 10
amount                                 1
would                                  1
any                                    2
divorce                                1
control                                1
index                                  2
however                                1
such                                   1
decision-making                        2
team                                   4
leaders                                3
and                                    7
that                                   6
associated                             1
than                                   1
company                                1
due                                    1
examiners                              1
this                                   2
identifies                             1
large                                  1
span                                   1
decide                                 1
other                                  1
can                                    2
have                                   1
manipulate                             1
volumes                                1
through                                1
recent                                 1
business                               4
evaluation                             1
risk                                  11
organization                           2
style                                  1
partners                               1
performance                            1
if                                     1
leader                                 3
develop                                2
profile                                5
is                                     1
with                                   2
leadership                             6
as                                     1
dependence                             1
the                                   22
sponsor                                1
in                                     1
gambling                               1
manual                                 1
organizational                         4
which                                  1
an                                     1
approach                               1
increase                               2
their                                  3
assessment                             5
changes                                1

Totals:                    141       274
