Token                          Frequency
-----------------------------  ---------
to                                     5
legal                                  2
no                                     1
subject                                1
investigator                           1
rights                                 1
states                                 1
most                                   1
interviews                             2
long                                   1
instances                              1
people                                 1
of                                     1
authority                              3
conduct                                2
are                                    1
area                                   1
federal                                1
if                                     1
generally                              1
any                                    2
license                                2
required                               2
individuals                            1
inquire                                2
citizen                                1
is                                     2
however                                1
transgressed                           1
gives                                  1
or                                     1
a                                      1
into                                   2
as                                     3
matters                                1
the                                    5
in                                     2
himself                                1
virtually                              1
process                                1
not                                    2
represents                             1
interviewer                            1
interview                              1
an                                     1
require                                1
some                                   1
constitution                           1

Totals:                     48        71
