Token                          Frequency
-----------------------------  ---------
via                                    1
external                               2
whether                                1
of                                     8
espionage                              1
are                                    2
criminal                               1
on                                     1
2011                                   1
industry                               2
groups                                 1
or                                     2
under                                  1
organized                              1
frauds                                 2
committed                              3
some                                   2
outside                                2
theft                                  3
typically                              1
1.901                                  1
states                                 2
18                                     1
collusion                              1
authority                              1
1996                                   1
title                                  1
usually                                1
starting                               1
internal                               1
united                                 2
prosecute                              1
schemes                                4
organizations                          2
a                                      1
outsiders                              1
to                                     3
transactions                           1
detail                                 1
both                                   1
u.s                                    1
by                                     5
fraud                                  6
type                                   1
has                                    1
related                                2
more                                   1
be                                     1
financial                              3
intellectual                           1
property                               1
code                                   1
economic                               1
and                                    2
secrets                                1
issues                                 1
against                                1
examiners                              2
rest                                   1
internet                               1
this                                   3
legal                                  1
justice                                1
§§1831-1839                            1
can                                    1
trade                                  2
department                             1
insider                                1
classified                             1
outsider                               1
because                                1
chapter                                1
federal                                1
offense                                1
between                                1
institution                            2
individuals                            2
statute                                2
law                                    2
is                                     3
those                                  1
with                                   1
it                                     1
sweeping                               1
makes                                  1
as                                     1
the                                   10
in                                     5
section                                2
manual                                 2
therefore                              1
organizational                         1
an                                     2
secret                                 1
discussed                              1
act                                    1
occur                                  1

Totals:                     97       162
