Token                          Frequency
-----------------------------  ---------
manages                                1
for                                    2
e-mail                                 1
everyday                               1
arrives                                1
checks                                 1
people                                 2
formats                                1
chronological                          1
of                                     5
are                                    2
search                                 1
among                                  1
report                                 1
features                               1
2011                                   1
import                                 1
activities                             1
objects                                1
these                                  1
information                            3
platform                               1
screen                                 1
form                                   1
how                                    1
or                                     2
numerous                               1
offers                                 1
organized                              1
flexible                               1
create                                 1
powerful                               1
calls                                  1
include                                1
system                                 1
simply                                 1
then                                   1
associations                           1
reporting                              1
lines                                  1
language                               1
ask                                    1
ways                                   1
xanalys                                1
graphic                                1
conducting                             1
range                                  1
visualize                              1
events                                 2
investigative                          1
query                                  1
merge                                  1
link                                   7
timeline                               1
data                                   7
aspects                                1
indexer                                1
messages                               1
reviewed                               1
document                               1
establishes                            1
end-to-end                             1
examined                               1
map                                    1
importer                               2
hierarchy                              1
relationships                          1
ensure                                 1
•                                      7
commonalities                          1
a                                     12
links                                  1
3.639                                  1
process                                1
charts                                 2
new                                    3
including                              1
easy-to-read                           1
chart                                  1
within                                 1
construct                              1
telephone                              1
methods                                1
to                                     6
users                                  2
by                                     2
powercase                              2
fraud                                  1
tools                                  1
explorer                               6
dragging                               1
results                                2
updated                                1
trail                                  1
investigation                          3
linked                                 1
cards                                  1
be                                     1
assigns                                1
onto                                   1
text                                   1
toolbox                                1
generates                              2
enter                                  1
display                                1
providing                              1
team                                   1
workflow                               1
and                                    9
investigations                         1
that                                   2
against                                1
several                                1
examiners                              1
queries                                1
case                                   3
natural                                1
quickchart                             1
other                                  2
can                                    2
evidence                               1
existing                               1
object                                 1
well                                   1
large-scale                            1
through                                1
analysis                               2
displays                               2
following                              1
order                                  1
details                                1
interactive                            1
allows                                 2
complete                               1
showing                                1
question                               1
forms                                  1
all                                    3
activity                               1
functionality                          1
with                                   1
is                                     1
it                                     1
modify                                 1
viewed                                 1
as                                     3
provides                               3
audit                                  1
the                                    5
tracks                                 1
addition                               1
centralized                            1
in                                     6
variety                                1
database                               1
manual                                 1
instantly                              1
entire                                 1
dropping                               1
entry                                  1
an                                     2
icons                                  1
user                                   1
storage                                1

Totals:                    164       257
