Token                          Frequency
-----------------------------  ---------
rship                                  1
president                              2
limited                                2
person                                 1
abc                                    3
its                                    1
people                                 1
corporation                            3
of                                     3
confirmed                              1
are                                    3
jones                                  2
represented                            1
interest                               1
event                                  1
2011                                   1
partner                                8
fo                                     1
black                                  4
enclosure                              1
or                                     2
indicated                              1
always                                 1
third                                  2
entities                               2
solid                                  1
symbols                                2
them                                   1
reporting                              1
lines                                  2
cross                                  1
different                              2
might                                  1
graphic                                1
don’t                                  1
events                                 1
link                                   2
vice-president                         1
line                                   1
use                                    2
vp                                     1
clear                                  1
partnerships                           1
def                                    2
symbolize                              1
relationships                          2
diagrams                               1
organizations                          1
green                                  2
a                                      8
smith                                  3
should                                 1
represent                              1
standards                              1
broken                                 1
triangle                               1
partne                                 1
square                                 1
within                                 1
corporat                               1
to                                     2
second                                 3
consistently                           1
by                                     2
show                                   1
fraud                                  1
long                                   1
used                                   1
doesn’t                                1
investigation                          1
connections                            1
partnership                            6
be                                     3
networks                               1
ion                                    1
gen                                    2
link-network                           1
symbol                                 1
so                                     1
intended                               1
rth                                    1
and                                    6
examiners                              1
diagram                                1
example                                1
subsidiary                             1
ltd                                    4
can                                    3
have                                   1
achieve                                1
presumed                               1
circle                                 1
purpose                                1
network                                1
another                                1
organization                           1
possible                               1
partners                               2
if                                     1
speculative                            1
between                                2
is                                     3
it                                     1
matter                                 1
as                                     2
you                                    2
the                                    8
in                                     5
general                                2
manual                                 1
which                                  1
3.923                                  1
an                                     3
brown                                  4
also                                   2
first                                  4

Totals:                    116       206
