Token                          Frequency
-----------------------------  ---------
loans—all                              1
disbursing                             2
attended                               1
external                               2
tend                                   1
incurred                               3
particular                             5
advances                               3
chance                                 1
party                                  2
bribery                                1
time                                   4
materials                              1
event                                  1
over-disbursed                         1
substantial                            1
these                                  5
duplicate                              1
troubled                               1
shown                                  1
)                                      1
creditworthiness                       1
fee                                    1
conditions                             3
project                               22
borrowers                              4
arranged                               1
payments                               1
each                                   5
underbudget                            2
relies                                 1
knowledge                              1
foreclosures                           1
take-out                               2
dependent                              1
accordingly                            1
made                                   8
fraudulent                             4
acco                                   1
times                                  2
recognize                              1
usually                                1
debts                                  1
ensure                                 4
leased                                 1
a                                     86
consultant                             1
misplaced                              1
specifications                         1
invest                                 1
leases                                 3
new                                    9
t                                      1
red                                    7
including                              1
developer                             17
having                                 1
transactions                          15
basis                                  3
change                                15
entity                                 1
lead                                   1
capital                                2
has                                   16
expenses                               4
pass-through                           1
personnel                              3
estimated                              1
diversion                              1
bank                                  11
invoices                               1
partnership                            3
reciprocal                             1
involves                               1
monitor                                1
releases                               4
constructi                             1
mislead                                1
inspected                              2
particularly                           1
single-family                          1
deficiency                             1
items                                  3
revised                                1
often                                  3
assumptions                            1
areas                                  1
orders                                11
kickbacks                              2
make                                   3
large                                  2
raw                                    1
update                                 1
insurance                              1
obtained                               2
indication                             5
higher-than-normal                     1
through                                1
business                               1
released                               1
following                              3
uncommon                               2
name                                   1
statements                             3
pay                                    4
activity                               2
misrepresent                           3
updates                                1
estimates                              2
unrelated                              2
landscaping                            1
inflated                               4
reimbursement                          2
planned                                1
vulnerabilities                        1
therefore                              2
entire                                 1
never                                  2
there                                 12
engineers                              1
subcontractor                          6
deposit                                1
reason                                 3
involve                                2
daisy                                  1
sufficient                             1
rewrite                                2
overhead                              10
sewer                                  1
preamble                               1
report                                 7
misappropriation                       1
listed                                 1
reported                               1
final                                  1
element                                1
made-as-instructed                     1
transfer                               2
support                                3
numerous                               1
bad                                    5
rob                                    1
category                               1
performed                              2
will                                   7
recorded                               1
pledge                                 1
pays                                   2
quid                                   1
lender                                17
rents                                  1
already-built                          1
upon                                   2
home                                   1
binder                                 1
waiver                                 1
proof                                  1
savings                                1
road                                   1
space                                  2
banker                                 1
short                                  2
supported                              1
rather                                 2
built                                  1
construction                          26
portion                                2
water                                  1
receipts                               1
exceed                                 1
lenders                                4
reserves                               1
per                                    2
improvement                            1
method                                 6
finance                                1
square                                 2
avoidance                              1
closing                                4
apply                                  1
tends                                  1
difficulty                             1
type                                   1
related                                1
exceeds                                1
request                               12
applications                           2
required                               5
defray                                 1
nonperforming                          4
contract                               2
wiring                                 1
ills                                   1
owned                                  1
amounts                                5
subcontractors                         4
owner                                  1
perpetrators                           1
fraudulently                           1
while                                  1
contracted                             1
allows                                 1
below                                  1
affiliated                             1
bid                                    1
major                                  2
building                               1
annual                                 1
added                                  1
bribing                                1
agreement                              2
into                                   1
problem                                2
provision                              1
buys                                   1
reconciliation                         3
environmental                          1
schedule                               1
plan                                   1
things                                 2
also                                   4
changes                                3
estate                                 9
limited                                3
exterior                               1
giveaway                               1
etc                                    1
its                                    4
checks                                 4
flow                                   5
customer                               6
hasten                                 1
although                               2
approved                               8
tenant                                10
hide                                   2
unknowingly                            1
interest                               3
nominee                                1
signs                                  1
sour                                   1
prove                                  1
under                                  1
feasible                               1
short-term                             1
suggest                                1
substantiating                         1
referred                               1
appraisal                              3
offered                                1
acts                                   1
fails                                  1
lien                                   8
deferred                               1
substance                              1
american                               1
—                                      7
agreements                             2
depending                              1
applicants                             1
unfortunately                          2
•                                     70
documents                              9
come                                   1
historically                           1
emes                                   1
material                               1
alter                                  1
seek                                   1
either                                 2
assignment                             4
original                               2
artificially                           1
reflect                                2
become                                 1
good                                   2
divorce                                1
arrangements                           1
presented                              1
condition                              2
whose                                  1
contractor                             9
electric                               1
gone                                   1
places                                 1
preliminary                            1
period                                 2
cost                                   6
vary                                   1
render                                 1
cash                                   5
several                                3
can                                    3
subscription                           1
performance                            1
attention                              1
appraisals                             2
lending                                9
percentage                             1
differentiation                        1
extended                               2
engineer                               2
budgetary                              1
general                                8
clerical                               1
unit                                   1
originally                             1
anything                               1
pro                                    1
actual                                 3
increase                               1
high                                   4
very                                   1
architects                             1
expired                                2
extensions                             2
people                                 1
draw                                  19
accepted                               2
represented                            2
nonexistent                            1
income                                 1
hold-back                              1
performing                             1
working                                2
exchange                               1
sold                                   2
nominees                               1
like                                   1
inappropriate                          2
promissory                             1
not                                   19
many                                   2
now                                    2
thornhill                              1
improvements                           3
some                                   9
suddenly                               1
remove                                 1
line                                   5
according                              1
fairly                                 1
disbursed                              2
words                                  2
sell                                   2
and/or                                 2
probably                               1
embezzlement                           1
billions                               1
disburser                              1
advancing                              1
return                                 1
characteristics                        1
bogus                                  1
payee                                  1
loans                                 23
process                                1
undergoing                             1
represents                             2
degree                                 1
chain                                  1
broker                                 2
cfe                                    1
allowed                                1
proceeds                               3
double-pledging                        1
but                                    2
transaction                            4
buy                                    1
decline                                1
mask                                   1
allocated                              2
footage                                1
used                                   2
been                                  18
utilities                              2
longer                                 1
survey                                 1
totally                                1
appraiser                              2
status                                 1
comes                                  1
policy                                 1
administration                         1
inspector                              4
increased                              2
highest                                1
purpose                                5
insiders                               2
architect/engineer                     2
experiencing                           2
because                                5
officers                               3
another                                7
egress                                 1
collateral                             6
increases                              4
glass                                  1
making                                 4
allocations                            2
availability                           1
definition                             1
chains                                 1
greatest                               1
addition                               4
soft                                   1
address                                1
their                                  7
first                                  4
total                                  1
ingress                                1
borrower                               7
higher                                 3
sham                                   2
until                                  4
becoming                               2
missing                                9
accompanied                            1
contribution                           1
2011                                   9
partner                                2
something                              2
concealing                             2
moving                                 1
once                                   1
promised                               1
number                                 2
attract                                1
projects                               2
requested                              4
swapping                               1
contingency                            4
oreo                                   1
letters                                2
review                                 1
retail                                 1
typically                              3
before                                 3
indicate                               5
examiner                               1
instances                              2
seeking                                1
aia                                    2
disguised                              3
could                                  2
write                                  1
do                                     1
dedications                            1
look                                   2
may                                    2
debt                                   3
easements                              1
kickback                               1
altered                                2
forego                                 1
what                                   2
concealment                            2
