Token                          Frequency
-----------------------------  ---------
borrower                               1
jewelry                                1
checks                                 2
its                                    1
deposits                               1
customer                               6
materials                              1
furs                                   1
scheme                                 1
interest                               1
predetermined                          1
2011                                   2
rollover                               1
these                                  1
else                                   2
asset                                  2
repayments                             1
lump-sum                               1
deposited                              4
under                                  3
number                                 1
loan                                  33
payments                               9
:                                      1
wealth                                 2
bills                                  1
cosigned                               1
made                                   3
indicate                               1
cashed                                 1
date                                   2
resulting                              1
personal                               1
leads                                  2
illicit                                2
could                                  1
agreements                             1
odd-amount                             1
checking                               1
ability                                1
importa                                1
look                                   1
may                                    1
•                                      3
payment                                2
illegal                                1
a                                     28
kickback                               1
up                                     3
history                                1
indications                            1
relationship                           1
new                                    1
down                                   2
notes                                  1
banks                                  1
keep                                   1
to                                    18
transactions                           4
both                                   1
provide                                4
transmittal                            1
normal                                 1
interviews                             1
by                                     7
same                                   1
long                                   1
handled                                1
has                                    2
installment                            1
amount                                 4
balance                                3
overdraft                              1
basic                                  1
description                            1
any                                    1
bank                                  17
taken                                  1
paying                                 1
instance                               2
bribe                                  1
be                                    11
financial                              3
suggests                               1
reports                                1
economic                               1
and                                   16
investigations                         1
that                                   9
assets                                 5
items                                  1
maximum                                1
often                                  2
contravention                          1
due                                    1
examiners                              2
previously                             2
alternatively                          1
odd                                    1
large                                  1
insurance                              2
obtained                               1
can                                    4
set                                    1
department                             2
sudden                                 1
about                                  2
sum                                    1
pay-downs                              1
purchase                               2
appears                                1
tracing                                6
following                              1
complete                               1
generally                              1
statements                             3
agrees                                 1
unusual                                3
outstanding                            1
disposition                            2
appraisals                             1
accounts                               4
makes                                  1
trace                                  1
as                                     5
extended                               1
general                                1
liabilities                            1
which                                  3
source                                 1
an                                     4
service                                1
forget                                 1
cashier                                1
ledger                                 1
out                                    1
nt                                     1
they                                   1
for                                   12
deposit                                2
liability                              2
determine                              1
ultimate                               1
3.821                                  1
3.822                                  1
third-party                            1
of                                    21
certificate                            1
are                                    2
pledged                                1
given                                  1
file                                   6
repay                                  1
only                                   1
carrier                                1
on                                     3
unpaid                                 1
commercial                             1
information                            5
transfer                               1
form                                   1
secured                                1
identify                               3
or                                    15
submitted                              1
mortgage                               3
regarding                              2
include                                2
many                                   1
not                                    2
present                                2
traced                                 1
funds                                  2
tax                                    1
secures                                1
them                                   1
then                                   1
will                                   4
attorney                               2
records                                7
some                                   1
plans                                  1
might                                 17
don’t                                  1
homeowner                              3
subject                                9
most                                   1
collusion                              2
title                                  3
overdue                                1
detailed                               2
maintains                              1
note                                   1
similar                                1
files                                  5
receipts                               1
unknown                                2
should                                 4
loans                                  8
valuable                               2
account                                5
finance                                1
within                                 1
broker                                 2
closing                                3
proceeds                               6
lump                                   1
reveal                                 2
individual                             2
subjects                               1
uncover                                1
contains                               1
show                                   2
fraud                                  2
used                                   6
where                                  1
been                                   3
specialized                            1
habits                                 1
accelerated                            2
were                                   1
sent                                   1
more                                   3
results                                2
when                                   1
someone                                2
investigation                          2
returns                                1
credit                                 9
such                                   3
wire                                   1
repayment                              1
offering                               1
requires                               1
ccount                                 1
statement                              2
copies                                 3
amounts                                2
company                                3
contain                                6
policy                                 1
perhaps                                2
this                                   2
commonly                               1
cohort                                 1
equivalent                             1
other                                  2
have                                   5
excess                                 1
security                               2
from                                   4
includes                               1
was                                    1
real                                   3
another                                3
rider                                  1
rate                                   1
officer                                1
collateral                             3
cohorts                                1
if                                     3
able                                   1
treated                                1
exist                                  1
lists                                  1
between                                2
application                            2
with                                   2
is                                     8
those                                  1
it                                     2
check                                  6
extend                                 1
agreement                              1
into                                   3
agency                                 1
came                                   1
the                                   81
inquiries                              1
past                                   1
in                                     6
balances                               1
manual                                 2
sheets                                 1
plan                                   2
hidden                                 4
special                                1
also                                   6
found                                  1
estate                                 3

Totals:                    290       814
