Token                          Frequency
-----------------------------  ---------
to                                     4
apply                                  1
for                                    1
§§                                     1
enough                                 1
fraud                                  9
procurement                            1
been                                   1
related                                1
u.s.c                                  1
bribery                                2
of                                     5
more                                   1
are                                    1
scheme                                 1
facts                                  1
prosecuted                             1
interest                               1
furtherance                            1
laws                                   1
2011                                   1
official                               1
false                                  2
commercial                             1
1343                                   1
these                                  1
information                            1
claims                                 1
1341                                   1
wire                                   2
wires                                  1
contract                               1
or                                     2
under                                  1
property                               1
and                                    4
include                                1
many                                   1
that                                   1
1                                      1
obtain                                 1
representation                         1
examiners                              1
kickbacks                              1
2.275                                  1
internet                               1
broad                                  1
have                                   1
use                                    1
18                                     1
instances                              1
fraudulent                             1
prohibit                               1
designed                               1
contracting                            1
money                                  1
law                                    2
conflicts                              1
statute                                1
mail                                   4
•                                      5
schemes                                1
a                                      1
the                                    5
in                                     1
section                                1
material                               1
manual                                 1
which                                  1
including                              1
see                                    1
part                                   1

Totals:                     72       106
