Token                          Frequency
-----------------------------  ---------
to                                     5
apply                                  1
§§                                     1
statues                                1
tool                                   1
terms                                  1
noted                                  1
used                                   1
fraud                                  6
u.s.c                                  1
of                                     3
scheme                                 1
commit                                 1
basic                                  1
criminal                               1
furtherance                            1
crimes                                 1
laws                                   1
be                                     1
1343                                   1
these                                  1
1341                                   1
wire                                   4
wires                                  1
or                                     2
property                               1
and                                    4
that                                   1
obtain                                 1
several                                1
due                                    1
internet                               1
computer                               3
have                                   1
broad                                  1
18                                     1
use                                    2
fraudulent                             1
prohibit                               1
reach                                  1
designed                               1
federal                                1
prosecutors                            1
money                                  1
above                                  1
held                                   1
mail                                   5
may                                    2
cases                                  1
prosecute                              1
a                                      2
as                                     1
traditional                            2
the                                    7
in                                     3
fact                                   1
including                              2
statutes                               2

Totals:                     58        96
