Token                          Frequency
-----------------------------  ---------
to                                     4
transactions                           1
mailroom                               3
phone                                  1
spy                                    3
supposed                               1
by                                     2
fraud                                  1
where                                  2
center                                 1
of                                     5
deal                                   1
directories                            1
2011                                   1
be                                     2
financial                              1
information                            1
packages                               2
how                                    1
intellectual                           1
learn                                  1
property                               1
number                                 1
he                                     1
places                                 1
like                                   1
favorite                               1
cost                                   1
and                                    5
copies                                 1
system                                 1
corporate                              1
simply                                 1
company                                2
examiners                              1
mailrooms                              1
even                                   2
acting                                 1
some                                   1
walk                                   2
theft                                  1
call                                   1
obtained                               1
can                                    3
communications                         1
simple                                 1
ship                                   1
one                                    1
most                                   1
from                                   1
express                                1
federal                                1
numbers                                1
making                                 1
receive                                1
internal                               2
locate                                 1
with                                   1
is                                     2
correspondence                         1
cases                                  1
a                                      3
into                                   1
the                                    7
in                                     1
works                                  1
manual                                 1
away                                   1
billing                                1
1.837                                  1
great                                  1
there                                  1
snoop                                  1
target                                 2
account                                2
telephone                              1
also                                   1
employees                              1

Totals:                     78       114
