Token                          Frequency
-----------------------------  ---------
to                                     3
they                                   2
but                                    1
understand                             1
attended                               1
communicating                          1
for                                    1
competitors                            1
by                                     1
genuinely                              1
who                                    1
of                                     1
software                               1
are                                    2
when                                   1
value                                  1
on                                     1
instance                               1
had                                    1
be                                     1
sure                                   1
information                            3
association                            1
he                                     1
willing                                1
and                                    4
not                                    2
that                                   2
stories                                1
often                                  1
company                                2
reprimanded                            1
nondisclosure                          1
make                                   1
other                                  1
development                            1
trade                                  1
about                                  1
didn’t                                 1
war                                    1
was                                    2
seemed                                 1
worked                                 2
agreements                             1
do                                     1
employee                               2
confidential                           1
entertained                            1
attendees                              1
may                                    1
with                                   1
updates                                1
later                                  1
a                                      2
speak                                  1
abide                                  1
the                                    6
know                                   1
process                                1
product                                1
great                                  1
what                                   2
proprietary                            1
meeting                                1
unaware                                1
provided                               1
things                                 1
employees                              2

Totals:                     68        91
