Token                          Frequency
-----------------------------  ---------
caller                                 1
plant                                  1
to                                     1
manufacturing                          1
phone                                  1
managers                               1
can                                    1
provide                                1
crafty                                 1
good                                   1
from                                   1
production                             2
sources                                1
almost                                 1
of                                     1
are                                    1
on                                     1
information                            2
answering                              1
a                                      2
the                                    2
and                                    1
valuable                               1
floor                                  1
anyone                                 1
often                                  1
unwittingly                            1
competitor                             1
also                                   1

Totals:                     29        33
