Token                          Frequency
-----------------------------  ---------
2008                                   1
medica                                 1
alliance                               1
president                              1
2009                                   1
fight                                  1
fy                                     1
received                               1
its                                    6
administers                            2
although                               2
apprised                               1
providers                              1
levels                                 1
refer                                  1
1977                                   1
2011                                   5
year                                   1
government                             7
these                                  2
responsibility                         1
patterns                               1
revenues                               1
under                                  1
number                                 1
sanctions                              2
investigate                            2
system                                 1
enrolled                               1
certifying                             2
own                                    3
each                                   5
referred                               1
disabilities                           2
acts                                   2
common                                 1
cms                                    1
data                                   1
financed                               2
states                                 7
collection                             1
investigates                           5
fraudulent                             2
penalties                              1
differences                            1
training                               1
authority                              2
oig                                    2
significant                            1
guidelines                             1
older                                  1
civil                                  3
investigating                          1
caid                                   1
convictions                            1
•                                     33
stringently                            1
prosecute                              2
b                                      1
payment                                2
a                                     10
increasing                             1
lyndon                                 1
up                                     1
standards                              1
billing                                1
recovered                              1
medi                                   1
overview                               1
statutes                               2
johnson                                1
keep                                   2
doj                                    3
to                                    19
transactions                           4
percent                                2
congress                               1
provide                                2
both                                   2
fiscal                                 1
entity                                 1
by                                     9
has                                    1
must                                   3
expenses                               1
fbi                                    2
amount                                 2
medical                                3
any                                    1
care                                   7
comprised                              1
comply                                 1
contributions                          2
be                                     3
processes                              1
financial                              4
control                                5
involves                               1
claims                                 4
get                                    1
billion                                3
971                                    1
and                                   45
that                                   7
often                                  1
efforts                                2
than                                   2
several                                1
examiners                              5
require                                1
oversees                               2
make                                   1
75                                     1
legal                                  1
enforcement                            2
does                                   1
insurance                              2
obtained                               1
forum                                  1
can                                    2
funded                                 1
department                             1
set                                    1
children                               1
portability                            1
complaints                             2
federal-                               1
response                               1
following                              1
findings                               2
federal                               17
unusual                                1
65                                     1
implement                              1
administrative                         2
types                                  1
hipaa                                  1
facilities                             2
individuals                            2
keeps                                  1
law                                    2
communication                          1
counter                                1
at                                     3
provides                               3
as                                     3
helped                                 1
provider                               1
units                                  2
general                                1
medicaid                              38
unit                                   4
never                                  1
devised                                1
which                                  3
recovers                               1
coverage                               3
there                                  3
an                                     4
eligibility                            2
provided                               1
proposed                               1
increase                               1
certain                                1
1.1248                                 1
1.1247                                 1
1.1246                                 1
anti-kickback                          1
for                                   17
no                                     2
imposing                               1
conducts                               2
determine                              1
curb                                   1
impose                                 1
leaves                                 1
stark                                  1
people                                 4
of                                    20
help                                   1
abuse                                  5
are                                    5
excluded                               1
administer                             1
post-payment                           1
income                                 1
social                                 2
only                                   2
false                                  1
on                                     4
enrollment                             1
activities                             2
industry                               1
working                                1
groups                                 1
thereafter                             1
information                            1
programs                               7
forums                                 1
services                               8
expended                               1
identify                               1
national                               1
or                                     6
deterring                              1
establishing                           2
health                                 9
receiving                              2
not                                    3
damages                                1
managed                                1
funds                                  2
operating                              1
will                                   2
medicare                               8
oversight                              1
years                                  1
some                                   1
residents                              1
budget                                 2
settlements                            1
assistance                             1
investigative                          2
long-term                              2
neglect                                2
centers                                2
operated                               1
most                                   2
costs                                  1
according                              2
patients                               2
rolling                                1
purposely                              1
establishes                            1
me                                     1
united                                 2
schemes                                2
cases                                  9
recipients                             1
signed                                 1
90                                     1
legislation                            1
officials                              1
enormous                               1
establish                              2
established                            2
health-related                         2
seniors                                1
hhs                                    1
facilitates                            1
within                                 1
conversely                             1
decides                                1
monies                                 1
attorneys                              2
initiatives                            1
indicts                                1
prosecutes                             2
being                                  1
integrity                              3
u.s                                    3
accountability                         2
1,314                                  1
used                                   1
fraud                                 34
type                                   1
restitution                            1
related                                1
were                                   1
$1.7                                   1
more                                   3
level                                  3
prosecuted                             2
$1.3                                   1
age                                    1
three                                  1
action                                 2
mfcus                                  2
state-funded                           1
mfcu                                   8
systems                                1
effectively                            1
reviews                                2
such                                   3
expenditures                           1
exclusions                             1
agencies                               2
assist                                 1
low-income                             1
program                               10
issues                                 1
involving                              2
low-                                   1
regulated                              1
monetary                               1
dicaid                                 1
this                                   1
other                                  2
scope                                  2
have                                   1
specific                               2
state                                 27
participating                          1
way                                    2
departments                            1
from                                   4
security                               2
pre-                                   1
includes                               1
because                                1
id                                     1
risk                                   1
sharing                                1
rate                                   1
effectiveness                          1
order                                  1
increases                              1
allotment                              1
various                                2
between                                2
office                                 1
statute                                1
1.1245                                 1
detect                                 2
with                                   6
is                                    12
funding                                2
it                                     4
can’t                                  1
governed                               1
agency                                 6
1965                                   1
prosecuting                            1
refers                                 5
the                                   45
families                               1
subsidizes                             1
in                                    15
human                                  1
manual                                 4
two                                    1
ongoing                                1
duration                               1
negotiates                             1
necessary                              1
suspected                              1
local                                  1
their                                  2
act                                    4
$216                                   1

Totals:                    350       953
