Token                          Frequency
-----------------------------  ---------
appear                                 1
incurred                               1
time                                   1
over                                   1
scheme                                 1
nature                                 2
2011                                   2
along                                  1
fraudster                              1
detected                               1
turn                                   2
asset                                  2
companies                              3
he                                     1
purchased                              2
simply                                 3
examples                               1
reimbur                                1
common                                 1
comparing                              1
made                                   1
date                                   1
difficult                              1
fraudulent                             3
reasons                                1
personal                               5
easy                                   1
do                                     1
may                                    2
documents                              1
a                                     21
business-related                       2
up                                     1
concoct                                1
expense                               18
what                                   2
contacting                             1
reimbursed                             1
nothing                                1
runs                                   1
coincide                               1
precise                                1
to                                    14
transactions                           2
ca                                     1
percent                                1
client                                 1
provide                                1
reflected                              1
by                                     3
requiring                              2
procurement                            1
who                                    1
mischaracterization                    1
expenses                              10
describes                              1
would                                  2
basic                                  1
any                                    1
depends                                1
be                                     3
financial                              2
ion                                    1
overnight                              1
reports                                6
submit                                 2
victim                                 2
so                                     1
disbursements                          2
providing                              1
and                                   11
helpful                                1
salesman                               1
that                                   3
failure                                1
often                                  1
than                                   2
saves                                  1
examiners                              2
whom                                   1
day                                    1
example                                3
make                                   1
large                                  1
reimbursements                         1
bill                                   1
can                                    2
about                                  1
purchase                               2
well                                   1
rd                                     1
business                               8
organization                           2
statements                             3
pay                                    1
trip                                   3
employee                               2
all                                    1
top                                    1
makes                                  1
at                                     1
as                                     7
reimbursement                          3
general                                1
therefore                              1
justifying                             1
which                                  1
see                                    1
sed                                    1
supporting                             1
there                                  1
listing                                1
an                                     3
off                                    1
reimburse                              2
certain                                1
employees                              5
very                                   1
for                                   10
receipt                                3
perpetrated                            1
of                                    12
are                                    3
report                                 2
false                                  1
on                                     3
only                                   2
misappropriation                       2
mischaracterized                       5
preventing                             1
element                                1
information                            2
support                                1
identify                               1
or                                     3
submitted                              2
without                                2
include                                1
not                                    2
suppose                                1
traveling                              1
vacation                               1
funds                                  1
reimbursing                            1
will                                   1
bar                                    1
some                                   1
upon                                   1
port                                   1
development                            1
most                                   2
claiming                               2
costs                                  1
kind                                   1
short                                  1
explaining                             1
dates                                  1
and/or                                 1
detailed                               5
rather                                 1
portion                                1
just                                   1
entertained                            1
readily                                1
95                                     1
cases                                  1
schemes                                3
requesting                             1
receipts                               4
should                                 1
point                                  1
but                                    3
allegedly                              1
sometimes                              2
little                                 1
travel                                 3
him                                    1
fraud                                  3
where                                  1
were                                   2
more                                   1
substantiate                           1
his                                    5
when                                   2
required                               1
credit                                 2
cards                                  2
work                                   1
goes                                   1
means                                  1
airfare                                1
1.573                                  1
1.574                                  1
comparison                             1
dinner                                 2
company                                4
involving                              1
policy                                 1
even                                   2
this                                   3
friend                                 1
lodging                                1
other                                  1
allow                                  3
issue                                  1
one                                    2
from                                   2
purpose                                1
restaurant                             1
so-called                              1
induces                                1
was                                    4
extent                                 1
mean                                   1
receive                                1
lists                                  1
detect                                 1
perpetrator                            1
with                                   4
is                                     3
exceedingly                            1
it                                     3
check                                  2
the                                   25
in                                     7
entertainment                          1
spend                                  1
manual                                 2
schedule                               1
meals                                  1
night                                  1
hotel                                  1
flowchart                              1
their                                  3

Totals:                    234       493
