Token                          Frequency
-----------------------------  ---------
to                                     1
budget                                 1
they                                   1
other                                  2
can                                    1
don’t                                  1
belong                                 1
for                                    2
sometimes                              1
misclassifying                         1
fraudulently                           1
reasons                                1
fixed                                  1
requirements                           2
help                                   1
are                                    1
order                                  1
misclassified                          1
current                                1
comply                                 1
various                                1
reclassified                           1
be                                     1
financial                              1
borrowing                              1
with                                   1
may                                    1
accounts                               1
or                                     1
into                                   1
as                                     1
ratios                                 1
the                                    2
meet                                   1
loan                                   1
in                                     2
manipulation                           1
general                                1
and                                    2
assets                                 4
which                                  1
company                                1
example                                1
covenants                              1
skew                                   1
ledger                                 1

Totals:                     46        55
