Token                          Frequency
-----------------------------  ---------
to                                     1
second                                 1
for                                    1
by                                     1
authorization                          1
type                                   1
cost-                                  1
prior                                  1
pre-authorizations                     1
of                                     2
free                                   1
medical                                1
are                                    1
care                                   1
fee-for-service                        1
choose                                 1
form                                   1
or                                     1
submitted                              1
under                                  1
and                                    2
modified                               1
that                                   1
arrangement                            1
managed                                1
insured                                1
practitioner                           1
surgical                               1
measures                               1
opinions                               1
this                                   1
review                                 1
hospital                               1
model                                  1
through                                1
patient                                1
utilization                            1
is                                     4
it                                     1
a                                      4
provider                               2
traditional                            1
reimbursement                          1
the                                    5
cutting                                1
in                                     2
either                                 1
coverage                               2
reimbursed                             1
claim                                  1

Totals:                     50        65
