Token                          Frequency
-----------------------------  ---------
sleepers                               2
they                                   1
person                                 1
somehow                                1
for                                    2
spy                                    3
e-mail                                 1
motivation                             1
checks                                 1
course                                 1
of                                     8
permitted                              1
recruit                                1
over                                   1
help                                   2
are                                    2
schooled                               1
interest                               1
spies                                  1
2011                                   1
on                                     4
her                                    1
place                                  1
piece                                  1
intelligence                           2
turn                                   1
information                            2
monitoring                             1
number                                 1
prevent                                1
he                                     1
available                              1
operatives                             1
extract                                1
prime                                  1
earlier                                1
will                                   2
low                                    1
introduction                           1
ways                                   1
theft                                  1
mole                                   3
difficult                              1
kind                                   1
moles                                  2
personal                               1
life                                   1
hired                                  1
long-                                  1
specialists                            1
agreeing                               1
usually                                2
padded                                 1
convincing                             1
look                                   1
thorough                               1
extremely                              1
applicants                             1
may                                    2
a                                     19
electronic                             1
operative                              1
background                             1
clever                                 1
greed                                  1
to                                    11
résumés                                1
transactions                           1
but                                    1
basis                                  2
client                                 1
by                                     3
perform                                1
enough                                 1
same                                   1
fraud                                  1
where                                  1
every                                  1
long-range                             1
has                                    2
function                               1
who                                    4
contrast                               1
his                                    2
when                                   1
directly                               1
be                                     1
sure                                   2
financial                              1
control                                2
reports                                1
get                                    1
intellectual                           1
property                               1
sleeper                                4
stable                                 1
professional                           2
targeted                               1
and                                    3
difference                             1
that                                   3
permanent                              1
secrets                                1
company                                5
examiners                              1
even                                   1
known                                  1
recruiting                             1
this                                   3
make                                   2
spydrops                               1
exposure                               1
deliberately                           1
have                                   1
one                                    1
existing                               1
about                                  1
planted                                1
way                                    1
well                                   1
through                                1
business                               1
risk                                   1
organization                           1
especially                             1
tradecraft                             1
if                                     2
résumé                                 1
employee                               4
between                                1
all                                    2
profile                                1
keeps                                  1
law                                    1
functions                              1
detect                                 2
with                                   2
is                                     8
regular                                1
as                                     6
compromised                            1
the                                   11
in                                     6
reference                              1
manual                                 1
two                                    1
1.836                                  1
never                                  1
term                                   1
meeting                                1
there                                  2
an                                     3
manner                                 1
discussed                              1
operations                             1
their                                  2
employees                              1
very                                   1

Totals:                    158       273
