Token                          Frequency
-----------------------------  ---------
unlicensed                             1
to                                     3
transactions                           2
grant                                  1
individual                             1
provide                                1
regulations                            1
discriminating                         1
otherwise                              1
court                                  1
u.s                                    2
by                                     1
contains                               1
bring                                  1
its                                    1
anti-money                             1
discharging                            1
who                                    1
u.s.c                                  1
of                                     6
prohibiting                            1
reinstatement                          1
file                                   1
any                                    3
action                                 1
laws                                   1
supervisory                            1
role                                   1
5328                                   3
financial                              2
information                            1
discrimination                         1
appropriate                            1
or                                     4
under                                  1
nondepository                          1
code                                   2
compensatory                           1
§                                      1
and                                    4
retaliation                            1
damages                                1
31                                     3
against                                1
years                                  1
monetary                               1
attorney                               1
treasury                               1
other                                  1
specific                               1
courts                                 1
institutions                           1
about                                  1
from                                   1
businesses                             1
relief                                 1
laundering                             1
violations                             1
title                                  2
possible                               1
federal                                2
outlines                               1
if                                     1
money                                  2
civil                                  1
employee                               1
anti-retaliation                       1
may                                    1
a                                      3
agency                                 1
brings                                 1
the                                    7
past                                   1
should                                 1
provision                              1
in                                     2
section                                2
general                                1
secretary                              1
transmitting                           1
two                                    1
including                              1
remedy                                 1
an                                     3
finance                                1
successful                             1
within                                 1
claim                                  2
actions                                1
employees                              1

Totals:                     90       129
