Token                          Frequency
-----------------------------  ---------
to                                     1
or                                     1
the                                    1
from                                   1
irrelevant                             1
stricken                               1
material                               1
record                                 1
that                                   1
strike                                 1
inflammatory                           1
prejudicial                            1
asks                                   1
motion                                 2
this                                   1
be                                     1

Totals:                     16        17
