Token                          Frequency
-----------------------------  ---------
accessed                               1
to                                     3
investors                              1
for                                    2
verify                                 1
u.s                                    1
visit                                  1
consumer                               1
fraud                                  1
sources                                1
of                                     7
obligation                             1
3.456                                  1
when                                   1
primary                                1
2011                                   1
investigation                          1
be                                     1
responsibility                         1
protection                             1
information                            1
appropriate                            1
association                            3
national                               2
fulfill                                1
consumers                              1
regulator                              1
and                                    2
that                                   1
particularly                           1
www.naic.org                           1
commissioners                          2
examiners                              1
policy                                 1
insurance                              5
promoter                               1
forum                                  1
can                                    2
development                            1
columbia                               1
interests                              1
state                                  1
states                                 1
from                                   1
effecti                                1
protect                                1
investment                             1
because                                1
uniformity                             1
organization                           1
sell                                   1
if                                     1
territories                            1
ve                                     1
naic                                   3
licensed                               1
district                               1
regulators                             2
site                                   1
is                                     5
it                                     1
website                                2
a                                      3
at                                     1
resource                               1
potential                              1
provides                               1
the                                   10
helps                                  1
manual                                 1
an                                     2
their                                  1
50                                     1

Totals:                     73       112
