Token                          Frequency
-----------------------------  ---------
to                                     3
using                                  1
used                                   1
countries                              1
fraud                                  1
sources                                1
center                                 2
of                                     6
commit                                 1
crimes                                 1
only                                   1
2011                                   1
investigation                          1
place                                  2
bureau                                 1
information                            1
ntc                                    2
national                               2
agencies                               1
sale                                   1
country                                1
and                                    2
many                                   1
system                                 1
manufacture                            1
crime                                  1
alcohol                                1
branch                                 1
examiners                              1
foreign                                1
enforcement                            2
assistance                             1
firearms                               4
states                                 1
from                                   1
tracing                                4
explosives                             1
division                               1
facility                               1
atf                                    2
systematically                         1
law                                    1
authorized                             1
is                                     1
united                                 1
those                                  1
it                                     1
a                                      1
provides                               1
tracks                                 1
the                                    8
duly                                   1
in                                     2
gun                                    1
24-hour                                1
manual                                 1
tobacco                                1
3.485                                  1
their                                  1

Totals:                     59        87
