Token                          Frequency
-----------------------------  ---------
to                                     7
technique                              1
transactions                           1
using                                  1
for                                    3
investigator                           1
dial                                   2
lead                                   1
fraud                                  3
used                                   1
been                                   1
weaving                                2
avoid                                  1
of                                     2
more                                   1
2011                                   1
be                                     1
financial                              1
networks                               2
final                                  1
involves                               1
relatively                             1
or                                     3
numerous                               1
transmission                           1
destination                            1
and                                    1
not                                    1
pbx                                    1
that                                   1
system                                 1
obtain                                 1
detection                              1
them                                   1
company                                4
examiners                              1
example                                2
known                                  2
make                                   1
internet                               1
this                                   1
commonly                               1
outside                                1
different                              1
computer                               1
attempt                                1
might                                  1
call                                   2
can                                    3
specific                               1
have                                   1
before                                 1
simple                                 1
data                                   1
line                                   1
15                                     1
looping                                1
examiner                               1
through                                1
difficult                              1
hacker                                 3
network                                3
20                                     1
if                                     1
loop                                   1
above                                  1
extremely                              1
is                                     1
it                                     2
b                                      2
ill                                    1
arriving                               1
trace                                  1
a                                      5
at                                     1
into                                   2
track                                  1
origin                                 2
as                                     1
the                                    5
in                                     1
hackers                                1
manual                                 1
w                                      1
point                                  1
an                                     3
1.1809                                 1
their                                  1
telephone                              1

Totals:                     89       131
