Token                          Frequency
-----------------------------  ---------
professionals                          1
to                                     2
they                                   1
manager                                1
attend                                 1
provide                                1
chapters                               1
for                                    1
being                                  1
technical                              1
chemicals                              1
though                                 1
of                                     2
are                                    1
participation                          1
chemical                               1
useful                                 1
her                                    1
industry                               1
directly                               1
be                                     2
these                                  1
intelligence                           1
learn                                  1
and                                    2
not                                    2
that                                   1
manufactures                           1
company                                2
issues                                 1
even                                   1
example                                1
fellow                                 1
meetings                               2
publicly                               1
societies                              2
deserve                                1
enforcement                            1
other                                  1
investigative                          1
state                                  1
about                                  2
former                                 1
security                               3
difficult                              1
cfes                                   1
business                               2
asis                                   1
officers                               1
could                                  1
full                                   1
if                                     1
relevant                               1
law                                    1
networking                             2
is                                     1
with                                   1
may                                    2
society                                1
organizations                          1
a                                      1
worthwhile                             1
the                                    5
in                                     1
should                                 1
general                                1
what                                   1
address                                1
meeting                                1
discussed                              1
local                                  1
also                                   1

Totals:                     72        90
