Token                          Frequency
-----------------------------  ---------
to                                     1
they                                   2
transactions                           1
reveal                                 1
www.supernews.com                      1
newsgroups                             2
1.819                                  1
fraud                                  1
type                                   1
people                                 1
of                                     4
are                                    1
deal                                   1
search                                 2
when                                   1
spies                                  1
2011                                   1
on                                     3
working                                1
intelligence                           1
these                                  1
financial                              1
information                            1
scanning                               1
engine                                 1
engines                                1
intellectual                           1
chatting                               1
property                               1
include                                1
and                                    1
amounts                                1
start                                  1
contain                                1
examiners                              1
utilize                                1
geared                                 1
examples                               1
internet                               2
this                                   1
immense                                1
theft                                  1
google                                 1
can                                    1
supernews                              1
about                                  1
www.google.com                         1
frequently                             1
sites                                  1
a                                      1
the                                    2
manual                                 1
great                                  1
what                                   1
also                                   1
specifically                           1

Totals:                     56        66
