Token                          Frequency
-----------------------------  ---------
for                                    2
reason                                 1
borrower                               1
sham                                   1
received                               1
flow                                   1
conceal                                1
skimming                               1
of                                     3
bribery                                1
although                               1
are                                    1
scheme                                 1
performing                             1
false                                  3
occurring                              1
on                                     1
2011                                   1
misappropriation                       1
information                            1
support                                1
or                                     4
available                              1
without                                1
loan                                   7
include                                1
not                                    2
payments                               1
1.909                                  1
some                                   1
lender                                 1
might                                  3
made                                   3
fraudulent                             1
reasons                                1
resulting                              1
disguised                              1
substance                              1
flips                                  1
—                                      7
embezzlement                           1
construction                           1
•                                      7
schemes                                2
debt                                   1
a                                      7
kickback                               1
cannot                                 1
seller                                 1
loans                                  1
concealment                            1
method                                 1
finance                                1
artificially                           1
to                                     4
transactions                           4
equity                                 1
fraud                                  4
has                                    2
amount                                 2
any                                    1
value                                  1
underlying                             1
bribe                                  1
be                                     3
presented                              1
financial                              2
nonperforming                          3
such                                   1
property                               1
ills                                   1
and                                    1
that                                   3
items                                  1
assumptions                            1
cash                                   1
overbudget                             2
examiners                              1
this                                   1
make                                   1
other                                  2
intention                              1
one                                    1
land                                   1
from                                   1
purpose                                1
fraudulently                           1
was                                    4
because                                1
statements                             2
all                                    1
institution                            1
appraisals                             1
is                                     2
those                                  1
as                                     1
inflated                               2
the                                   10
in                                     1
therefore                              1
manual                                 1
never                                  1
an                                     2
there                                  1
out                                    1

Totals:                    105       179
