Token                          Frequency
-----------------------------  ---------
professionals                          3
using                                  2
seminars                               1
developed                              1
specialist                             2
yellow                                 1
time                                   2
over                                   2
materials                              1
levels                                 1
interest                               1
2011                                   2
these                                  5
intelligence                           3
serve                                  1
books                                  1
reviewing                              1
international                          1
convention                             1
number                                 1
available                              1
meet                                   1
shows                                  2
few                                    1
touch                                  1
lines                                  1
own                                    1
keeping                                1
trends                                 1
austin                                 1
theft                                  2
multitude                              1
lies                                   1
before                                 1
archives                               1
data                                   1
use                                    1
run                                    1
estimate                               1
strike                                 1
document                               1
numbers                                1
american                               1
domain                                 1
usually                                1
specialists                            1
entries                                1
mention                                1
do                                     3
collections                            1
editions                               1
experts                                3
•                                     10
markets                                1
organizations                          1
a                                     21
essentially                            1
up                                     1
works                                  3
relationship                           1
history                                2
field                                  2
expertise                              1
including                              1
contacting                             1
background                             1
base                                   1
produces                               1
bolsters                               1
informal                               1
public                                 2
confirm                                1
libraries                              1
to                                    14
transactions                           2
resources                              1
percent                                1
provide                                1
lesser-known                           1
in-house                               1
by                                     4
good                                   4
interviews                             1
served                                 1
has                                    3
after                                  1
comfortably                            1
estimated                              1
any                                    2
key                                    5
be                                     2
financial                              3
index                                  1
text                                   2
association                            1
so                                     2
hundreds                               1
learn                                  1
listings                               1
virtually                              1
and                                   17
seminar                                1
that                                   7
doing                                  1
ci                                     4
saves                                  1
whom                                   1
examiners                              2
foreign                                1
fast                                   1
meetings                               1
internet                               1
large                                  2
thing                                  1
can                                    2
trade                                  3
texas                                  1
governing                              1
about                                  1
gale                                   4
insider                                1
business                               9
statistics                             1
findings                               1
especially                             1
attractive                             1
generally                              1
statements                             1
employee                               1
locate                                 1
talk                                   1
thomson                                3
advantages                             1
estimates                              1
makes                                  1
trace                                  1
track                                  1
at                                     4
provides                               1
as                                     5
suppliers                              2
needed                                 1
reference                              3
buzzwords                              1
charge                                 1
ran                                    1
source                                 2
regional                               1
meeting                                1
an                                     5
historical                             1
serves                                 2
employees                              1
out                                    1
growth                                 1
they                                   5
person                                 2
for                                    7
no                                     1
spy                                    2
tier                                   1
draw                                   1
center                                 1
of                                    17
open                                   1
are                                    2
directories                            8
spies                                  3
on                                     5
inexpensive                            1
working                                1
industry                               3
mentions                               1
information                            3
form                                   1
or                                     6
national                               1
identify                               1
like                                   2
attending                              2
researcher                             2
many                                   1
publications                           1
them                                   3
will                                   2
associations                           1
records                                1
position                               2
accessing                              1
long-term                              1
centers                                1
most                                   2
line                                   1
contact                                1
kind                                   1
publisher                              1
capacity                               1
starting                               1
mind                                   1
savvy                                  1
products                               1
similar                                1
nontraditional                         1
95                                     1
pages                                  1
research                               4
product                                2
cd-rom                                 1
point                                  1
valuable                               1
industrial                             2
databases                              3
directory                              4
within                                 1
archive                                1
telephone                              3
manufacturing                          3
but                                    1
old                                    1
enable                                 1
1.817                                  1
show                                   1
since                                  1
chat                                   1
1.816                                  1
where                                  1
fraud                                  2
every                                  2
middle                                 1
sources                                4
prior                                  1
related                                1
almost                                 1
participation                          1
family                                 1
when                                   1
primary                                1
analyst                                1
infotrac                               4
intellectual                           2
property                               2
professional                           2
targeted                               1
knows                                  1
encyclopedia                           2
market                                 1
corporate                              1
homework                               3
strong                                 1
imaginable                             1
company                                1
locating                               1
commonly                               1
rosters                                1
other                                  1
have                                   2
agents                                 1
one                                    1
charted                                1
state                                  1
way                                    2
from                                   5
includes                               1
guides                                 1
network                                1
officers                               1
details                                1
officer                                1
full                                   1
able                                   1
ads                                    1
fine                                   1
lists                                  2
abstract                               1
with                                   3
university                             1
is                                     2
annual                                 2
it                                     1
the                                   18
addition                               1
in                                    12
concepts                               1
print                                  1
manual                                 2
two                                    1
scientific                             1
book                                   1
necessary                              1
competitive                            3
their                                  5
also                                   6
16,000                                 1
advance                                1
changes                                1

Totals:                    295       577
