Token                          Frequency
-----------------------------  ---------
to                                     1
transactions                           3
resources                              1
by                                     1
contingent                             1
obligations                            2
capital                                2
expenses                               1
of                                     3
are                                    1
future                                 1
on                                     1
required                               1
arrangements                           1
these                                  1
financial                              2
reports                                1
liquidity                              1
condition                              2
revenues                               1
or                                     4
expenditures                           1
companies                              1
entities                               1
and                                    2
that                                   2
company                                2
disclosure                             2
require                                2
components                             1
publicly                               1
sarbanes-oxley                         1
unconsolidated                         1
other                                  1
have                                   2
issue                                  1
significant                            1
traded                                 1
off-balance                            3
current                                1
relationships                          1
all                                    3
sheet                                  3
may                                    2
with                                   1
annual                                 1
disclosures                            1
a                                      1
the                                    6
persons                                1
in                                     2
material                               3
rules                                  2
including                              1
effect                                 1
sec                                    2
directed                               1
act                                    1
quarterly                              1
changes                                1

Totals:                     60        94
