Token                          Frequency
-----------------------------  ---------
might                                  2
for                                    1
evidence                               5
fraud                                  4
maintaining                            1
allegation                             2
of                                     2
are                                    1
refute                                 1
gathering                              1
commission                             1
prove                                  1
is                                     2
demonstrate                            1
such                                   1
responsible                            1
certified                              1
important                              1
or                                     1
a                                      1
as                                     2
the                                    3
available                              1
without                                1
and                                    1
merit                                  1
that                                   3
obtain                                 1
either                                 1
will                                   1
examiners                              1
equally                                1
confirm                                1
custody                                1

Totals:                     34        50
