Token                          Frequency
-----------------------------  ---------
to                                     2
evidence                               3
accordingly                            1
interviews                             1
by                                     1
well                                   1
examiner                               1
fraud                                  2
must                                   1
related                                1
takes                                  1
of                                     3
witnesses                              2
conduct                                1
parties                                1
statements                             2
usually                                1
legally                                1
form                                   1
documents                              1
how                                    2
or                                     1
as                                     2
the                                    2
know                                   1
taking                                 1
and                                    3
obtaining                              1
properly                               1
obtain                                 1

Totals:                     30        43
