Token                          Frequency
-----------------------------  ---------
person                                 1
manager                                1
for                                    4
wrote                                  1
particular                             2
its                                    1
checks                                14
people                                 1
unlocked                               1
of                                     6
over                                   1
are                                    6
guards                                 1
on                                     5
2011                                   1
1979                                   1
misappropriation                       1
duties                                 2
worth                                  1
preparing                              1
black                                  2
these                                  2
checkbook                              5
preparation                            1
asset                                  1
how                                    1
or                                     3
companies                              2
number                                 2
he                                     2
include                                1
many                                   1
not                                    1
obtain                                 1
1                                      1
funds                                  1
committed                              1
then                                   1
combination                            1
will                                   1
steals                                 1
each                                   1
guarded                                1
some                                   3
go                                     1
ways                                   1
computer                               1
position                               1
might                                  2
typically                              1
dependent                              1
most                                   1
unlimited                              1
desk                                   2
instances                              1
fraudulent                             1
across                                 1
unless                                 1
worked                                 1
usually                                1
best                                   1
left                                   2
desires                                1
stolen                                 1
portion                                1
kept                                   1
steal                                  2
blank                                  6
fifth                                  1
schemes                                1
a                                     16
misappropriating                       1
return                                 1
restricted                             1
dictionary                             1
unsigned                               1
access                                 4
cannot                                 1
secretary                              1
obtaining                              1
p                                      1
account                                1
within                                 1
$100,000                               1
produce                                1
publishing                             1
to                                    11
possesses                              1
edition                                1
transactions                           1
managers                               1
provide                                1
basis                                  1
by                                     1
counterfeit                            2
where                                  2
poorly                                 1
fraud                                  1
password                               1
drawer                                 1
handled                                1
who                                    3
his                                    1
when                                   1
sees                                   1
st                                     1
depends                                1
clerks                                 1
had                                    1
key                                    1
financial                              1
work                                   1
get                                    1
so                                     1
whose                                  1
disbursements                          1
means                                  1
far                                    1
bookkeepers                            1
comes                                  1
and                                    2
lacking                                1
knows                                  1
check-printing                         1
co                                     1
paul                                   1
generated                              1
company                               11
forgeries                              1
areas                                  1
examiners                              1
585                                    1
example                                1
case                                   1
perhaps                                1
this                                   2
west                                   1
does                                   1
obtained                               1
other                                  3
payable                                1
can                                    2
have                                   4
one                                    2
unattended                             1
way                                    2
through                                1
was                                    1
custodian                              1
area                                   2
1.512                                  1
able                                   1
henry                                  1
if                                     1
issuing                                1
employee                               2
find                                   1
office                                 1
law                                    1
perpetrator                            5
is                                     3
with                                   2
it                                     1
accounts                               1
campbell                               1
circumstances                          1
check                                  6
regular                                1
as                                     3
the                                   20
forge                                  1
in                                    10
print                                  1
therefore                              1
manual                                 1
which                                  1
surreptitiously                        1
accomplice                             3
anyone                                 1
there                                  1
an                                     6
largely                                1
forgery                                1
first                                  1
employees                              4

Totals:                    185       345
