Token                          Frequency
-----------------------------  ---------
they                                   1
employment                             1
for                                    1
court                                  1
of                                    10
pleadings                              1
are                                    1
assistant                              1
e.g                                    1
interest                               1
criminal                               3
on                                     2
2011                                   1
consists                               1
bureau                                 1
these                                  1
information                            1
reviewing                              1
monitoring                             1
debtor                                 1
or                                     2
matters                                2
investigate                            1
fee                                    2
operating                              1
bankruptcy                             6
creditors                              1
each                                   2
some                                   2
review                                 2
region                                 2
analysts                               2
investigative                          4
administering                          1
states                                 2
instances                              1
protect                                1
11                                     1
21                                     1
division                               1
trustees                               3
ust                                    2
internal                               1
ensure                                 1
united                                 2
responsible                            1
cases                                  3
principally                            1
a                                      2
appearing                              1
represent                              1
overseeing                             1
analyze                                1
including                              1
to                                     4
attorneys                              2
transactions                           1
oversee                                1
u.s                                    2
compliance                             1
fraud                                  2
1.1302                                 1
accountants                            1
motions                                1
more                                   1
comprised                              1
investigation                          1
applications                           2
work                                   1
financial                              2
reports                                1
such                                   1
agencies                               1
code                                   1
referrals                              1
and                                   14
assets                                 1
that                                   1
examiners                              3
several                                1
case                                   1
appointing                             1
justice                                1
other                                  1
department                             1
one                                    1
appoint                                1
comprising                             1
committees                             1
regions                                2
trustee                                5
complaints                             1
chapter                                1
staff                                  2
federal                                2
relevant                               1
revenue                                1
office                                 4
is                                     3
with                                   2
as                                     1
agency                                 1
the                                   15
in                                     8
units                                  2
general                                1
manual                                 1
there                                  1
an                                     1
service                                1
districts                              1
special                                2
estate                                 2

Totals:                    113       209
