Token                          Frequency
-----------------------------  ---------
to                                     5
they                                   1
but                                    1
person                                 1
using                                  1
intersecting                           2
foot                                   2
street                                 3
moves                                  1
little                                 1
observers                              2
by                                     1
him                                    1
used                                   1
enough                                 2
must                                   1
turning                                1
close                                  1
expect                                 1
avoid                                  1
of                                     1
would                                  1
his                                    2
surveillance                           1
interest                               1
when                                   3
on                                     2
follow                                 1
be                                     2
monitor                                1
behind                                 2
alternative                            1
far                                    1
he                                     1
u-turn                                 1
observer                               1
tailed                                 1
and                                    2
not                                    1
detection                              1
coming                                 1
will                                   2
make                                   2
cross                                  2
car                                    3
allow                                  1
can                                    2
opposite                               1
direction                              3
subject                                5
one                                    3
vehicle                                1
block                                  1
from                                   1
turns                                  1
while                                  1
stops                                  1
possible                               1
normally                               1
is                                     2
one-vehicle                            1
it                                     1
corner                                 1
a                                      5
into                                   1
the                                   13
in                                     3
should                                 1
around                                 1
two                                    1
remain                                 1
take                                   1
an                                     1
continue                               3
original                               2
actions                                2

Totals:                     76       130
