Token                          Frequency
-----------------------------  ---------
they                                   4
for                                    1
test                                   1
everyday                               1
refined                                1
involve                                1
of                                    12
are                                    5
excluded                               2
criminal                               1
report                                 1
three-part                             1
2011                                   1
only                                   1
on                                     5
i.e                                    2
limit                                  1
information                            1
ordinary                               1
distinction                            1
form                                   1
or                                     8
further                                1
not                                    3
record                                 1
skill                                  1
experienced                            1
will                                   1
innocence                              1
bearing                                1
conclusion                             1
documentary                            1
own                                    1
some                                   1
ways                                   1
expert                                 3
judgment                               3
knowledge                              2
sort                                   1
give                                   1
common                                 1
data                                   1
most                                   1
embraces                               1
addressing                             1
drawing                                1
witness                                2
training                               1
clear                                  1
personal                               3
hired                                  1
tests                                  1
judge                                  1
perceptions                            1
possess                                2
do                                     1
opposed                                1
trial                                  1
jury                                   2
direct                                 1
experts                                1
may                                    2
•                                      3
cases                                  1
admissible                             2
a                                      9
factual                                2
reserved                               1
fact                                   2
what                                   2
testify                                1
introduced                             2
part                                   1
despite                                1
based                                  2
keep                                   1
to                                     9
allowed                                1
determinations                         1
provide                                1
determination                          1
by                                     1
actually                               1
fraud                                  1
must                                   5
specialized                            1
contrast                               1
witnesses                             10
pertains                               1
basic                                  1
facts                                  2
opinion                                8
701                                    1
guilt                                  1
be                                     5
situations                             1
however                                2
get                                    1
likely                                 1
professional                           1
render                                 1
and                                    6
helpful                                1
statement                              1
rationally                             1
that                                   1
hearsay                                1
involving                              1
examiners                              1
case                                   1
opinions                               5
this                                   1
make                                   1
non-expert                             2
legal                                  2
does                                   1
decide                                 1
firsthand                              1
can                                    1
have                                   3
evidence                               5
testimony                              6
about                                  1
understanding                          1
from                                   3
through                                1
fre                                    1
education                              1
observations                           1
because                                1
during                                 1
if                                     4
rule                                   2
below                                  1
experience                             2
types                                  1
law                                    2
2.707                                  1
exempt                                 1
is                                     5
it                                     1
lay                                    5
into                                   1
as                                     1
principles                             1
the                                   21
in                                     6
know                                   1
rules                                  1
general                                2
pass                                   1
manual                                 1
therefore                              1
conclusions                            2
which                                  2
there                                  1
certain                                1
discussed                              1
their                                  4
themselves                             1

Totals:                    160       323
