Token                          Frequency
-----------------------------  ---------
to                                     6
they                                   1
for                                    1
sometimes                              2
accept                                 2
corrupt                                1
of                                     4
bribes                                 1
are                                    2
materials                              1
reduced                                1
sales                                  1
loss?and                               1
instance                               1
invoices                               1
bribe                                  1
services                               1
selling                                1
victim                                 2
or                                     2
shipments                              1
rates?sometimes                        1
companies                              1
always                                 1
discount                               1
not                                    1
items                                  1
even                                   1
unauthorized                           1
some                                   1
make                                   1
other                                  2
assistance                             1
goods                                  2
purchase                               1
from                                   2
fraudulent                             1
short                                  1
authority                              1
organization                           2
paid                                   2
discounts                              1
receive                                1
portion                                1
greatly                                1
phony                                  1
with                                   1
accomplices                            1
schemes                                1
inspectors                             1
a                                      2
return                                 1
wishing                                1
at                                     3
substandard                            1
the                                    4
kickback                               1
in                                     1
representatives                        1
seek                                   1
process                                1
billing                                1
off                                    1
their                                  1
outsiders                              1
employees                              4

Totals:                     66        93
