Token                          Frequency
-----------------------------  ---------
www.newswise.com                       1
•                                      2
services                               1
other                                  1
www.onlinenewspapers.com               1
news                                   1
on                                     1
the                                    1
newspapers                             1
net                                    1
newswise                               1
database                               1

Totals:                     12        13
