Token                          Frequency
-----------------------------  ---------
to                                     2
shell                                  1
for                                    1
common                                 1
invoice                                3
existing                               2
employer                               1
altering                               1
most                                   1
by                                     2
undertake                              1
creates                                1
counterfeit                            1
where                                  1
instances                              2
fraudulent                             1
of                                     2
nevertheless                           1
scheme                                 1
his                                    1
employee                               3
invoices                               2
overbilling                            1
copy                                   1
creating                               1
with                                   1
is                                     1
it                                     1
form                                   1
such                                   1
submit                                 1
or                                     1
vendor                                 4
a                                      5
as                                     1
the                                    1
he                                     1
in                                     2
not                                    1
an                                     5
company                                1
will                                   1
nonaccomplice                          1
uses                                   1
overbill                               1
some                                   1

Totals:                     46        68
