Token                          Frequency
-----------------------------  ---------
transactions                           2
reimbursements                         1
can                                    1
for                                    1
fraud                                  2
fraudulent                             2
seeking                                1
business                               1
expenses                               4
of                                     3
personal                               1
accomplished                           1
overstate                              1
2011                                   2
misappropriation                       2
be                                     1
financial                              2
asset                                  2
a                                      1
disbursements                          2
number                                 1
reimbursement                          1
the                                    1
cost                                   1
in                                     1
1.575                                  1
1.576                                  1
manual                                 2
overstated                             3
expense                                1
see                                    1
instead                                1
examiners                              2
actual                                 1
flowchart                              1
some                                   1
this                                   1
ways                                   1
employees                              1

Totals:                     39        56
