Token                          Frequency
-----------------------------  ---------
president                              3
institutional                          3
holding                                1
morass                                 1
chance                                 1
affords                                1
religion                               2
autonomy                               1
heed                                   2
right                                  1
arthur                                 1
regard                                 8
meet                                   1
few                                    3
3                                      1
2                                      1
1                                      1
median                                 1
authorities                            5
troubles                               1
:                                      1
8                                      2
steady                                 1
array                                  1
shment                                 1
judgment                               1
inequities                             1
vastly                                 1
behavior                               6
made                                   5
john                                   1
undercut                               1
ronald                                 1
times                                  1
guidelines                             3
usually                               10
mention                                1
totalitarian                           1
trial                                  6
classes                                1
templeton                              1
b                                      1
c                                      2
illegal                                4
a                                    176
rechristened                           1
l                                      1
m                                      1
j                                      3
reconsidered                           1
i                                      6
broke                                  1
w                                      2
advocates                              1
new                                    3
t                                      1
including                              4
p                                      1
pestilence                             1
medieval                               1
suspend                                1
resources                              2
ncs                                    1
basis                                  7
change                                 2
exception                              2
observers                              1
spoken                                 1
programs—at                            1
restores                               1
capital                                1
jurisdictional                         1
fbi                                    3
personnel                              4
medical                                2
updated                                1
reputation                             1
derived                                1
guilt                                  3
apprehend                              1
involves                               6
one-to-three                           1
beverages                              1
far                                    2
label                                  1
criticism                              1
much                                   6
country                                2
favoritism                             1
involved                               1
particularly                           4
speech                                 1
delicate                               1
often                                 13
disrepute                              1
areas                                  2
fewer                                  2
orders                                 1
wears                                  1
wheeler                                1
make                                   4
decreasingly                           1
room                                   1
span                                   1
justice                               29
credited                               1
969                                    1
tried                                  1
through                                3
education                              2
notably                                2
business                               2
following                              3
possible                               4
fuel                                   1
population                             1
spends                                 1
pittsfield                             1
3david                                 1
expected                               1
entire                                 1
which                                 15
female                                 1
inside                                 3
assessment                             1
2see                                   1
lower                                  3
diverse                                2
liability                              1
roster                                 1
carried                                2
permitted                              2
help                                   1
social                                 2
recently                               3
report                                 4
invo                                   1
tolerance                              1
reported                               2
element                                1
consequences                           1
support                                1
someday                                1
forehead                               1
cullen                                 1
job                                    2
recommendation                         1
health                                 1
prisons                               13
rose                                   1
category                               3
offender                              22
session                                1
burglary                               3
branch                                 1
upon                                  10
objections                             1
assistance                             1
mandate                                1
counties                               1
express                                1
anonymous                              1
violations                             2
awaiting                               2
destroyed                              1
punishments                            1
endless                                1
rather                                 3
construction                           1
built                                  1
rape                                   5
note                                   1
trading                                1
joan                                   1
officials                              1
suggestions                            1
sending                                1
omit                                   1
improvement                            1
notifying                              1
telephone                              1
warning                                1
truly                                  3
apply                                  1
single                                 2
marks                                  1
where                                  5
every                                  2
self-fulfilling                        1
eight                                  1
almost                                 6
rare                                   2
announcing                             1
fictitious                             1
action                                 1
focused                                2
none                                   1
penalty                                1
administered                           1
seriously                              3
alcoholics                             1
509                                    1
forfeited                              1
contract                               1
nolo                                   2
philosophy                             2
here                                   1
designated                             1
reaucracy                              1
unreasonable                           1
humiliation                            1
dictate                                2
corporate                              1
restore                                1
proceedings                            2
surveys                                3
violent                                6
permits                                1
conforming                             1
societies                              1
interstate                             1
hellholes                              1
eliciting                              1
security                               8
recourse                               1
while                                  5
prisoner                               1
rate                                   1
lindbergh                              1
allows                                 2
characterizes                          1
major                                  3
drug                                   4
puzzle                                 1
larceny                                2
errant                                 1
into                                  11
problem                                2
offer                                  1
tended                                 1
schedule                               1
remedy                                 2
identification                         1
scientific                             1
forbidden                              1
appear                                 1
treatment                              7
maintain                               3
its                                    8
richly                                 1
practices                              1
comprehensive                          1
richard                                2
year                                   6
relatively                             1
inclinations                           1
under                                 14
calls                                  1
system                                18
favor                                  2
indicates                              1
tappan                                 1
unblemished                            2
press                                  2
reformed                               1
jurisdictions                          5
fails                                  1
minimum                                2
deferred                               1
charles                                2
run                                    1
likelihood                             2
absolute                               3
exposed                                1
life                                   4
significant                            1
—                                      3
cressey                                1
candidates                             1
•                                      5
reoffend                               1
non-negligent                          1
rates                                  1
emergence                              1
jail                                   7
young                                  2
medium                                 2
works                                  2
remain                                 1
stays                                  1
world                                  1
reflect                                1
progress                               2
reflected                              1
become                                 2
menacing                               1
unwarranted                            1
must                                   4
decades                                3
friends                                1
practical                              1
1974):22-54                            1
considering                            1
cars                                   1
care                                   2
card                                   1
l5,000                                 1
places                                 1
tactics                                2
pools                                  1
vary                                   1
51,000                                 1
upgrade                                1
tourist                                1
argued                                 1
unlikely                               2
several                                3
case                                   3
early                                  2
discretionary                          1
attempt                                2
legal                                  1
famous                                 2
powers                                 1
illinois                               1
managerial                             1
governing                              1
cloak                                  1
four-fifths                            1
addicts                                1
spared                                 1
child                                  1
performance                            1
undergirding                           1
administrative                         1
question                               1
placed                                 8
assaults                               2
harsher                                2
uncooperative                          1
strength                               1
reformatories                          1
community                              6
2,310,984                              1
adult                                  1
soon                                   1
general                                5
classrooms                             1
charge                                 1
originally                             1
truancy                                1
pretend                                1
high                                   2
very                                   6
pinpoint                               1
states—also                            1
misleading                             1
blessings                              1
reform                                 2
sheriff                                1
drive                                  1
indeterminate                          6
whereabouts                            1
credentials                            1
working                                1
0.8                                    1
astronomically                         1
again                                  4
matters                                3
like                                   1
receiving                              1
many                                   5
not                                   27
nor                                    1
vocational                             1
now                                    1
offenders—mi                           1
prize                                  2
one-third                              3
combination                            1
say                                    5
saving                                 1
conclusion                             2
years                                  7
approaches                             1
some                                  19
outside                                2
range                                  2
plead                                  3
scarlet                                1
purposes                               1
centers                                2
operated                               3
overcrowded                            1
robbery                                1
pleas                                  2
words                                  1
probationers                           3
annually                               1
legitimized                            1
opposed                                1
end                                    3
options                                1
unemployed                             1
readily                                3
segregated                             1
male                                   1
confidence                             1
process                                2
represents                             1
successfully                           2
parole                                13
brother                                1
reading                                1
restitution                            1
habits                                 1
stipulated                             2
possessed                              1
police                                 6
toward                                 1
l600s                                  1
robert                                 2
agencies                               6
offenders                             28
temptation                             1
comes                                  1
hearing                                1
soften                                 1
persuaded                              1
policing                               1
policy                                 3
known                                  4
administration                         2
senior                                 1
repetition                             1
obstruction                            1
issue                                  1
state                                 13
self-report                            2
ruling                                 2
because                                9
hanging                                1
another                                3
officers                               4
details                                1
full                                   3
increases                              1
making                                 1
judiciary                              1
judgments                              1
gendreau                               1
defendants                             3
negotiated                             1
century                                1
greatest                               2
came                                   1
addition                               3
teach                                  1
contrite                               2
address                                1
special                                2
group                                  4
average                                2
alcoholism                             1
total                                  2
need                                   2
cozy                                   1
freedom                                2
benefit                                1
higher                                 1
privileges                             1
lesser                                 3
becoming                               1
over                                   3
free                                   1
criminologists                         1
located                                1
relentless                             1
began                                  1
monitoring                             2
patterns                               1
once                                   2
death                                  2
companies                              1
number                                 6
$68                                    1
prosecution                            2
further                                7
cities                                 2
presumptively                          1
typically                             12
before                                 5
skews                                  1
adhere                                 2
ght                                    1
slightly                               1
could                                  3
minneapolis                            1
centuries                              1
france                                 1
inroad                                 1
extraordinarily                        1
customs                                1
thorough                               1
living                                 1
arrested                               2
dissatisfaction                        1
background                             1
nothing                                2
wealthy                                1
behalf                                 1
invariably                             6
intimates                              1
petitioner                             1
egregious                              1
considerable                           1
same                                   3
$l                                     1
taste                                  1
boundary                               1
who                                   19
opinion                                1
paying                                 1
key                                    1
claims                                 2
get                                    1
contractual                            1
bode                                   1
investigations                         2
executive                              1
considerably                           1
better                                 2
against                                6
felon                                  1
examiners                             18
example                                1
meetings                               1
$10,000                                1
carefully                              1
set                                    4
employer                               1
today                                  5
purchase                               1
england                                3
organization                           7
carrying                               1
area                                   1
wake                                   1
demonstrates                           1
formed                                 1
nixon                                  3
experience                             2
taxpayers                              1
types                                  2
employee                               1
counseling                             1
7francis                               1
individuals                            6
five                                   6
enters                                 1
society                                1
lves                                   1
persons                                6
see                                    6
advertisements                         1
sec                                    3
suit                                   1
they                                  51
william                                1
traders                                1
manager                                1
yield                                  1
pardons                                3
concern                                1
nine                                   1
court                                  9
french                                 1
impose                                 6
break                                  2
operation                              2
deliver                                1
rejected                               1
combine                                1
only                                   6
confined                               1
educated                               1
programs                               7
creating                               1
lesson                                 1
services                               2
church                                 2
submitted                              3
welfare                                1
steps                                  1
third                                  1
responses                              1
include                                1
prime                                  1
traffic                                1
earlier                                1
skill                                  1
them                                  12
novel                                  1
gap                                    1
different                              3
occupational                           1
experiences                            1
inmates                                4
shoplifters                            1
influence                              2
pictures                               1
protect                                1
allowing                               1
misdemeanors                           1
compelled                              1
counsel                                1
plenum                                 1
similar                                5
usual                                  1
stigma                                 1
turnabout                              1
attends                                1
larger                                 2
blueprint—                             1
inaccurate                             1
vietnam                                1
sewn                                   1
violators                              1
offending                              2
walls                                  2
within                                 4
filed                                  1
counties—there                         1
depredations                           1
impoverished                           1
second                                 2
equity                                 1
count                                  1
u.s                                    4
study                                  3
lenient                                1
middle                                 1
subtle                                 1
deserts                                2
procedures                             1
prior                                  4
level                                  3
results                                1
someone                                1
official                               1
certainly                              1
clashes                                1
trials                                 1
november                               1
appropriate                            1
such                                  17
controlled                             1
heavy                                  1
offering                               1
referrals                              1
professional                           1
comparison                             2
estions                                1
issues                                 1
lawbreakers                            1
byrne                                  1
called                                 4
adjudicate                             1
lifestyles                             1
this                                  17
release                                7
concept                                1
way                                    4
from                                  21
includes                               3
believe                                5
war                                    1
network                                1
was                                   26
risk                                   2
3,000                                  1
rise                                   1
window-dressing                        1
treated                                1
receive                                2
between                                1
rehabilitation                         2
self-interested                        1
thieves                                1
governors                              1
important                              3
