Token                          Frequency
-----------------------------  ---------
2008                                   1
guide                                  1
reaffirmed                             1
underscores                            1
for                                    1
no                                     1
conducted                              1
initiates                              1
involve                                1
its                                    1
addressed                              1
conceal                                1
existence                              1
of                                     4
although                               1
are                                    3
solely                                 1
initiate                               1
recently                               1
criminal                               6
government                             3
1189                                   1
prosecution                            3
not                                    2
obtain                                 1
them                                   1
furthermore                            1
conducting                             1
broad                                  1
courts                                 1
before                                 1
use                                    1
pursuing                               1
stringer                               3
prosecutors                            3
substantially                          1
civil                                  6
targets                                1
may                                    4
facilitate                             1
simultaneous                           1
permissible                            1
a                                      7
independent                            1
v                                      1
521                                    1
afford                                 1
to                                     4
u.s                                    1
by                                     1
aware                                  1
same                                   1
long                                   1
where                                  1
every                                  1
has                                    1
discretion                             1
obligation                             1
conduct                                1
parties                                1
boundaries                             1
action                                 1
investigation                          7
be                                     1
so                                     1
behind                                 1
agencies                               2
possibility                            2
skulking                               1
and                                    5
mislead                                1
investigations                         6
that                                   4
inform                                 1
issues                                 1
evidence                               1
legitimate                             1
affirmatively                          1
about                                  1
ruling                                 1
applicable                             1
while                                  1
federal                                4
regulatory                             3
generally                              2
cir                                    1
defendants                             1
parallel                               5
it                                     1
thus                                   1
as                                     1
agency                                 1
the                                    9
9th                                    1
in                                     1
ongoing                                1
f.3d                                   1
lawful                                 1

Totals:                     98       172
