Token                          Frequency
-----------------------------  ---------
to                                     4
markup                                 1
but                                    1
for                                    3
normal                                 1
otherwise                              1
qualify                                1
involve                                1
by                                     2
inducements                            1
policies                               1
who                                    1
of                                     1
would                                  1
sales                                  1
fictitious                             1
only                                   1
commission                             1
groups                                 1
these                                  1
such                                   1
furnishing                             1
or                                     2
establishing                           1
not                                    2
fee                                    1
that                                   2
scenario                               1
them                                   1
policy                                 1
legitimate                             2
purpose                                1
from                                   3
another                                1
and/or                                 1
cheaper                                1
published                              1
individuals                            1
may                                    1
holder                                 1
is                                     2
added                                  1
payment                                1
schemes                                1
collected                              1
premium                                1
a                                      5
rates                                  1
the                                    6
surcharge                              1
in                                     1
profits                                1
obtaining                              1
billing                                1
charge                                 1
coverage                               1
waivers                                1
group                                  3
broker                                 3
adding                                 2
also                                   1
brokers                                1
employees                              1

Totals:                     63        90
