Token                          Frequency
-----------------------------  ---------
noted                                  1
tend                                   1
creates                                1
checks                                 1
deposits                               2
2011                                   1
something                              1
place                                  1
elements                               1
these                                  2
he                                     3
observed                               1
7                                      1
simply                                 1
5                                      1
crime                                  2
violated                               1
8                                      1
components                             1
view                                   1
face                                   1
knowledge                              2
unique                                 1
behavior                               1
next                                   1
perceive                               1
use                                    2
adhere                                 1
significant                            1
could                                  2
usually                                1
possess                                1
caught                                 1
cressey                                6
define                                 1
trust                                  5
needs                                  1
a                                      7
come                                   1
deterrence                             1
h                                      1
solving                                1
fact                                   2
presence                               1
p                                      1
having                                 1
em                                     1
keep                                   1
to                                    23
essence                                1
non-shareable                          4
lead                                   1
aware                                  1
by                                     2
same                                   2
identified                             1
must                                   2
has                                    1
faced                                  1
commit                                 5
clerks                                 1
key                                    1
be                                     4
financial                              3
seeing                                 1
perpetrate                             1
so                                     1
motive                                 1
possibility                            1
4.606                                  1
and                                    8
that                                   9
constitutes                            1
examiners                              1
remember                               1
embezzlements                          1
model                                  1
trusted                                1
can                                    1
perception                             1
employer                               1
understanding                          2
perceived                              3
withhold                               2
generally                              1
crises                                 1
men                                    1
employee                               5
all                                    2
accounts                               1
obviously                              1
as                                     1
persons                                1
general                                5
needed                                 1
advantage                              1
which                                  1
see                                    1
take                                   1
there                                  1
an                                     2
employees                              1
skills                                 1
they                                   6
for                                    5
technical                              3
whic                                   1
of                                    13
are                                    3
correct                                1
sales                                  1
prevention                             1
on                                     1
itself                                 1
information                            5
element                                1
66–67                                  1
embezzlers                             1
or                                     2
job                                    2
without                                1
entrusted                              2
not                                    3
present                                1
obtain                                 1
skill                                  4
committed                              1
them                                   1
will                                   3
position                               4
might                                  1
occupational                           3
most                                   2
possibilities                          1
according                              1
situation                              1
just                                   1
faith                                  1
receipts                               1
characteristics                        1
bankers                                1
triangle                               1
apply                                  1
but                                    2
second                                 1
conjointly                             1
being                                  2
him                                    1
used                                   1
where                                  1
fraud                                  6
type                                   1
accountants                            1
been                                   1
were                                   1
his                                    2
when                                   1
three                                  1
power                                  1
seldom-used                            1
offenders                              1
hearing                                1
this                                   3
other                                  2
have                                   4
specific                               4
theory                                 1
manipulate                             1
purpose                                1
from                                   3
routines                               1
dishonest                              1
because                                1
real                                   1
order                                  1
if                                     1
perpetrator                            1
is                                     5
with                                   1
application                            1
it                                     2
dispose                                1
violation                              6
problem                                4
refers                                 1
the                                   32
crimes.6                               1
addition                               1
in                                     7
manual                                 1
two                                    1
opportunity                            4
abilities                              2
ployees                                1
their                                  4
also                                   1
first                                  1
step                                   1
occur                                  1
estate                                 1

Totals:                    200       411
