Token                          Frequency
-----------------------------  ---------
transactions                           1
reveal                                 3
deposit                                2
no                                     1
ghost                                  3
fraud                                  1
same                                   3
existence                              1
withholding                            1
of                                     5
are                                    1
more                                   3
periodically                           1
2011                                   1
misappropriation                       1
government                             1
working                                1
financial                              1
transfer                               1
asset                                  1
or                                     1
automatic                              1
disbursements                          1
1.570                                  1
number                                 2
occasional                             1
distribution                           1
and                                    1
not                                    1
that                                   1
than                                   3
examiners                              1
review                                 2
might                                  1
payroll                                4
comparing                              1
one                                    3
indicate                               1
fraudulent                             1
analysis                               1
controls                               1
designed                               1
following                              1
disbursement                           1
dates                                  2
employee                               3
internal                               1
with                                   5
may                                    3
•                                      4
as                                     1
the                                    7
periodic                               1
manual                                 1
independent                            2
presence                               1
address                                1
identification                         1
an                                     2
account                                1
employees                              4

Totals:                     61       106
