Token                          Frequency
-----------------------------  ---------
photograph                             1
employment                             2
for                                    4
verify                                 1
no                                     2
out-of-area                            1
college                                1
customer                               9
deposits                               1
of                                     7
open                                   1
e.g                                    1
2011                                   1
activities                             1
place                                  3
opened                                 1
questioned                             1
or                                     6
loan                                   1
without                                1
calls                                  1
gas                                    1
not                                    1
further                                1
record                                 1
funds                                  1
opening                                2
branch                                 1
?                                      5
ask                                    2
some                                   1
identity                               1
personal                               1
consider                               2
current                                2
write                                  1
license                                2
disconnected                           1
•                                      2
a                                      9
established                            1
should                                 2
up                                     1
relationship                           2
indications                            1
bureaus                                1
residence                              3
utility                                1
kiting                                 1
account                                5
alien                                  1
telephone                              1
to                                     3
warrant                                1
transactions                           1
questionable                           1
phone                                  1
location                               1
by                                     1
served                                 1
type                                   1
fraud                                  2
used                                   1
been                                   1
has                                    1
together                               1
prior                                  1
incidents                              1
busi                                   1
card                                   4
electricity                            1
bank                                   3
investigation                          1
credit                                 1
be                                     3
follow                                 1
financial                              2
asking                                 1
situations                             1
such                                   3
status                                 1
letter                                 1
issued                                 1
and                                    2
that                                   2
involved                               1
nsf                                    1
cash                                   1
examiners                              1
large                                  2
other                                  1
can                                    1
bill                                   1
existing                               1
employer                               1
about                                  1
thanking                               1
through                                1
from                                   1
satisfactory                           1
area                                   1
if                                     1
driver                                 2
major                                  1
institution                            2
with                                   5
is                                     2
accounts                               2
it                                     1
check                                  1
locally                                1
ness                                   1
at                                     1
as                                     3
the                                   17
registration                           1
photo                                  1
in                                     2
reference                              1
manual                                 1
source                                 1
identification                         3
an                                     4
service                                2
1.933                                  1
passport                               1
why                                    1

Totals:                    127       228
