Token                          Frequency
-----------------------------  ---------
pharmacy                               2
sizes                                  1
they                                   1
transactions                           2
but                                    2
for                                    5
quantities                             1
package                                2
stemming                               1
fraud                                  3
merchandising                          1
beyond                                 1
third-party                            1
amount                                 1
of                                     2
were                                   1
reduced                                1
when                                   1
value                                  1
care                                   1
2011                                   1
something                              1
black                                  1
financial                              1
substituting                           1
drugs                                  5
health                                 1
cost                                   1
include                                1
size                                   1
not                                    1
purchased                              2
market                                 1
price                                  1
then                                   1
high-priced                            1
examiners                              1
small                                  1
1.1218                                 1
purchasing—purchasing                  1
generic                                3
dispensing                             3
prescription                           1
from                                   1
lower-priced                           1
name                                   1
—                                      1
less                                   1
drug                                   3
•                                      7
schemes                                1
payers                                 1
regular                                1
prescribed                             2
larger                                 1
a                                      3
differential—billing                   1
at                                     3
rates                                  1
the                                    1
in                                     2
manual                                 1
billing                                4
prices                                 1
brand                                  1
significantly                          1

Totals:                     66       103
