Token                          Frequency
-----------------------------  ---------
need                                   3
periods                                1
low-level                              1
using                                  2
holding                                1
developed                              2
competitors                            4
higher                                 1
particular                             2
parts                                  2
accounting                             5
failing                                1
until                                  1
missing                                1
over                                   2
deliverables                           1
time                                  11
materials                              7
solely                                 1
movement                               1
2011                                   9
government                             2
detected                               2
these                                  3
purchases                              1
concealing                             1
patterns                               1
once                                   1
preferential                           1
companies                              4
number                                 2
residual                               1
he                                     3
wide                                   1
meet                                   2
reorganization                         1
shows                                  1
frauds                                 2
projects                               1
payments                               2
quality                                5
opening                                3
lines                                  1
each                                   2
review                                 5
computer                               3
typically                              2
before                                 1
refrain                                2
made                                   1
examiner                               6
instances                              2
presolicitation                        2
division                               1
could                                  1
times                                  1
token                                  1
consider                               1
current                                1
write                                  1
usually                                3
do                                     1
relationships                          1
ensure                                 1
tags                                   1
look                                   1
transfers                              2
detecting                              1
needs                                  2
firm                                   1
a                                     39
surreptitious                          1
accepting                              1
ones                                   1
kickback                               1
specifications                        19
taking                                 1
labor                                 11
standards                              3
independent                            1
new                                    1
altered                                1
including                              1
red                                    2
what                                   1
exists                                 1
having                                 1
testing                                3
vendors                                5
advice                                 1
transactions                           8
basis                                  2
change                                 3
least                                  1
normal                                 1
versus                                 1
losing                                 1
lead                                   1
award                                  3
by                                    12
aware                                  1
firms                                  2
permitting                             1
splitting                              2
same                                   1
has                                    1
who                                   11
conduct                                2
personnel                              4
would                                  1
deal                                   1
updated                                1
basic                                  1
future                                 2
any                                    3
awarding                               1
allowable                              1
falsifying                             1
be                                    16
financial                              8
seemingly                              1
involves                               1
nonapplied                             1
get                                    2
conducive                              1
manually                               1
far                                    1
double                                 1
samples                                1
and                                   49
involved                               3
detection                              7
near                                   1
determining                            2
against                                1
areas                                  1
examiners                              9
orders                                 3
day                                    1
example                                4
make                                   4
phase                                  8
raw                                    1
update                                 1
acceptable                             1
deliberately                           2
carefully                              1
protective                             1
routing                                1
disparity                              1
routine                                1
through                                2
reshipments                            1
tested                                 2
voluminous                             1
possible                               1
following                              6
area                                   2
gratuity                               1
generally                              2
discounts                              1
statements                             6
complementary                          3
pay                                    1
employee                               7
types                                  5
all                                    2
activity                               3
sample                                 1
facilities                             1
law                                    1
reclassification                       1
correspondence                         1
unrelated                              1
assigned                               1
at                                     6
audit                                  1
laboratory                             1
as                                    11
variance                               1
inflated                               2
tremendous                             1
portions                               1
amendments                             1
which                                  5
slips                                  1
source                                 1
take                                   1
anyone                                 2
an                                     3
there                                  5
off                                    1
proposals                              1
proposed                               2
box                                    1
categories                             2
venture                                1
prominent                              2
assessment                             1
amend                                  2
suspicious                             1
they                                   3
subcontractor                          1
jobs                                   2
appearance                             2
rotate                                 1
no                                     2
determine                              2
rights                                 1
involve                                7
carried                                1
substitution                           5
receipt                                1
perpetrated                            1
diverted                               1
of                                    79
consultation                           1
permitted                              1
overhead                               1
mischarged                             1
given                                  1
correct                                2
deliver                                1
rotation                               1
inflating                              1
buyer                                 11
unsuccessful                           2
on                                    20
only                                   3
write-off                              1
activities                             2
commercial                             3
programs                               3
creating                               2
transfer                               1
services                               1
preparation                            1
identify                               2
numerous                               1
or                                    44
done                                   1
charging                               3
submitted                              1
suspense                               1
phantom                                1
include                                3
rotating                               1
decisions                              1
committed                              1
them                                   2
then                                   3
will                                   7
phases                                 1
negotiation                            2
delay                                  1
delivery                               6
records                                3
different                              1
hardware                               1
development                            3
assistance                             1
disclosing                             2
subject                                1
easily                                 1
