Token                          Frequency
-----------------------------  ---------
to                                     4
pretexting                             1
2006                                   1
phone                                  3
faces                                  1
test                                   1
otherwise                              1
aware                                  1
by                                     1
must                                   2
of                                     5
permitted                              1
are                                    1
criminalizes                           1
criminal                               1
false                                  1
violator                               1
be                                     2
protection                             1
information                            1
however                                1
fines                                  1
privacy                                1
convicted                              1
admitted                               1
meet                                   1
and                                    4
record                                 1
obtain                                 1
years                                  1
records                                4
evidence                               1
use                                    1
through                                2
business                               1
violations                             1
federal                                1
unless                                 1
if                                     1
statements                             1
confidential                           1
law                                    1
trppa                                  1
is                                     1
attempting                             1
it                                     1
a                                      1
investigators                          1
into                                   1
the                                    5
access                                 1
in                                     2
gaining                                1
up                                     2
obtaining                              1
10                                     1
prison                                 1
which                                  1
authentication                         1
practice                               1
act                                    2
$100,000                               1
telephone                              1
also                                   1

Totals:                     64        89
