Token                          Frequency
-----------------------------  ---------
for                                    1
insist                                 2
court                                  1
avoiding                               1
of                                     5
over                                   1
are                                    3
on                                     3
government                             1
white-collar                           3
these                                  1
how                                    1
guilty                                 4
like                                   1
varies                                 1
prone                                  1
not                                    2
many                                   1
offender                               1
will                                   1
complex                                1
plead                                  3
simple                                 1
18                                     1
easily                                 1
most                                   1
pled                                   1
14                                     1
decision                               1
plea                                   1
clear                                  1
pleas                                  2
prosecutors                            1
crimes”—                               1
usually                                1
embezzlement                           1
opposed                                1
proceeded                              1
trial                                  3
usual                                  1
may                                    1
cases                                  4
a                                      2
male                                   1
90                                     1
officials                              1
ones                                   1
seek                                   1
expense                                1
strongly                               1
to                                     7
ten                                    1
but                                    1
percent                                3
both                                   1
least                                  1
by                                     1
higher-level                           1
were                                   1
more                                   3
crimes                                 1
bank                                   2
evidently                              1
likely                                 2
effort                                 1
offenders                              2
much                                   1
and                                    3
involved                               1
than                                   1
example                                1
securities                             1
day                                    1
other                                  1
embezzlers—generally                   1
evidence                               1
about                                  1
while                                  1
bargains                               1
federal                                1
especially                             1
offense                                1
all                                    1
sample                                 1
defendants                             6
negotiated                             1
feel                                   1
with                                   2
actively                               1
at                                     1
as                                     3
win                                    1
the                                   10
in                                     6
female                                 1
chances                                1
tellers                                1
their                                  2

Totals:                     98       160
