Token                          Frequency
-----------------------------  ---------
to                                     1
unethical                              1
podiatrists                            2
may                                    1
•                                      3
services                               2
other                                  1
provide                                1
bill                                   2
for                                    2
like                                   1
rendered                               1
suppliers                              1
never                                  1
medical                                1
providers                              1
noncovered                             1
kickbacks                              1

Totals:                     18        24
