Token                          Frequency
-----------------------------  ---------
skills                                 1
technique                              1
professionals                          1
sleepers                               1
person                                 4
for                                    2
spy                                    5
street                                 1
recruited                              1
privileges                             1
technical                              5
people                                 1
ga                                     1
of                                     2
cover                                  1
are                                    1
materials                              1
search                                 1
janitorial                             1
criminal                               2
spies                                  1
advanced                               3
2011                                   1
on                                     4
credentials                            1
high-level                             1
serious                                1
intelligence                           1
information                            3
how                                    1
identify                               1
or                                     3
he                                     1
indicated                              1
putting                                1
not                                    1
record                                 1
obtain                                 1
earlier                                1
will                                   4
charlie                                1
saw                                    1
comment                                1
some                                   1
theft                                  1
plant                                  1
might                                  1
knowledge                              1
common                                 1
long-term                              1
simple                                 1
rival                                  1
crew                                   1
sought                                 1
use                                    1
rarely                                 1
character                              1
and/or                                 1
highly                                 1
sheen                                  1
usually                                1
capacity                               1
best                                   1
hiring                                 2
sensitive                              1
member                                 1
may                                    1
later                                  1
needs                                  1
a                                     23
infiltrator                            1
movie                                  1
access                                 3
works                                  1
history                                1
process                                1
proprietary                            1
background                             2
gains                                  1
nothing                                1
penetrates                             1
within                                 1
competitor                             1
to                                     8
transactions                           1
detail                                 1
basis                                  1
good                                   1
fraud                                  1
screened                               1
ph.d.s                                 1
who                                    5
after                                  1
more                                   2
be                                     4
financial                              1
work                                   1
however                                1
victim                                 1
contract                               1
likely                                 1
intellectual                           1
campaigns                              1
property                               1
sleeper                                1
professional                           1
overalls                               1
posing                                 1
targeted                               2
and                                    2
knows                                  1
that                                   3
corporate                              1
often                                  1
company                                5
than                                   1
examiners                              1
laborer                                1
even                                   1
known                                  1
example                                1
this                                   2
wall                                   1
funnels                                1
does                                   1
acceptable                             1
remember                               1
janitor                                1
can                                    1
have                                   4
one                                    1
cursory                                1
from                                   1
security                               3
routine                                1
penetrating                            1
engineering                            1
biotechnology                          1
organization                           2
officer                                1
during                                 1
generally                              1
if                                     2
employee                               1
all                                    1
individuals                            1
with                                   4
is                                     3
it                                     2
check                                  1
at                                     1
as                                     4
potential                              1
the                                    8
in                                     8
section                                1
manual                                 1
1.835                                  1
electrical                             1
anyone                                 1
an                                     4
target                                 1
manner                                 1
discussed                              1
high                                   1
very                                   1
employees                              1
out                                    2

Totals:                    168       278
