Token                          Frequency
-----------------------------  ---------
to                                     2
plastic                                1
transmitters                           1
telephones                             1
fans                                   1
vehicle                                1
threats                                1
equipment                              1
garbage                                1
heat                                   1
treme                                  1
leaving                                1
open                                   1
possible                               1
cold                                   1
magnets                                1
during                                 1
temperatures                           1
under-shelf                            1
copy                                   1
ex                                     1
•                                     11
or                                     3
electric                               1
vent                                   1
a                                      1
degaussing                             1
speakers                               1
radiator                               1
in                                     1
machines                               1
proximity                              1
either                                 1
trunk                                  1
sandwich                               1
lighting                               1
an                                     1
heating                                1
hot                                    1
radio                                  2
magnetic                               1
media                                  2
bags                                   1

Totals:                     43        58
