Token                          Frequency
-----------------------------  ---------
truly                                  1
to                                     3
guide                                  1
analyzing                              1
for                                    2
investigator                           1
by                                     1
since                                  1
identifications                        1
fraud                                  2
of                                     4
time                                   2
materials                              1
2011                                   1
investigation                          1
proper                                 1
serve                                  1
prove                                  1
text                                   1
essential                              1
preparation                            2
adequate                               1
or                                     2
much                                   1
samples                                3
and                                    1
not                                    2
obtain                                 1
copies                                 1
session                                1
examiners                              1
case                                   1
handwriting                            2
expert                                 1
allow                                  1
can                                    1
have                                   2
before                                 1
breaks                                 1
evidence                               2
writing                                2
through                                1
examiner                               1
short                                  1
during                                 1
if                                     1
suspect                                2
dictated                               2
do                                     2
all                                    1
sample                                 1
is                                     1
rush                                   1
documents                              3
a                                      1
at                                     1
as                                     3
the                                   15
should                                 2
taking                                 2
manual                                 1
see                                    1
interview                              2
comfort                                1
take                                   2
tires                                  1
original                               1
necessary                              1
pre-interview                          1
3.114                                  1
dictating                              1

Totals:                     71       113
