Token                          Frequency
-----------------------------  ---------
opposing                               1
reliable                               1
they                                   1
writings                               1
for                                    2
etc                                    1
wrote                                  1
court                                  1
particular                             1
refresher                              1
technical                              1
creates                                1
of                                    11
basically                              1
stock                                  1
are                                    4
materials                              2
excepted                               1
admission                              1
cross-examination                      1
2011                                   1
only                                   2
on                                     2
contradictory                          1
right                                  1
refresh                                2
mentions                               1
commercial                             1
these                                  1
thereafter                             1
else                                   1
limit                                  1
information                            1
support                                2
or                                     6
under                                  1
he                                     3
without                                1
not                                    1
aspect                                 1
publications                           1
periodicals                            1
will                                   1
attorney                               1
years                                  1
counts                                 1
some                                   2
rule—the                               1
upon                                   1
expert                                 2
knowledge                              1
jurisdictions                          1
referring                              1
treatise                               1
courts                                 2
use                                    1
witness                                3
clear                                  1
relied                                 1
authority                              1
numbers                                1
written                                1
depending                              1
published                              1
trial                                  1
just                                   1
may                                    1
admissible                             4
a                                      9
established                            1
living                                 1
material                               1
works                                  1
either                                 1
testify                                1
what                                   2
mortality                              1
printed                                2
attack                                 1
notes                                  3
public                                 1
ago                                    1
world                                  1
allowed                                1
to                                    10
but                                    1
testifying                             1
sometimes                              1
terms                                  1
permit                                 1
exception                              2
by                                     3
fraud                                  2
used                                   2
treatises                              3
sources                                1
who                                    2
specialized                            1
requests                               1
witnesses                              3
assertions                             1
his                                    2
basic                                  1
opinion                                1
sure                                   1
be                                     2
work                                   2
occupations                            1
reports                                2
text                                   1
however                                1
such                                   1
indexes                                1
providing                              1
proliferating                          1
professional                           1
cost                                   1
wants                                  1
and                                    7
that                                   4
pamphlets                              1
market                                 3
hearsay                                2
often                                  2
serving                                1
examiners                              1
example                                1
got                                    1
make                                   1
this                                   2
immediately                            1
can                                    1
testimony                              3
issue                                  1
evidence                               3
writing                                3
from                                   1
add                                    1
authoritative                          1
revive                                 1
federal                                2
lawyerly                               1
during                                 1
able                                   1
manifesto                              1
if                                     3
generally                              1
rule                                   2
2.723                                  1
too                                    1
consult                                1
law                                    1
with                                   1
is                                     8
whistler                               1
circumstances                          1
matter                                 1
at                                     1
as                                     4
principles                             1
the                                   17
referenced                             1
in                                     5
persons                                1
memory                                 2
rules                                  2
manual                                 1
tables                                 1
two                                    1
anything                               1
see                                    1
commodity                              1
quotes                                 1
bears                                  1
learned                                3
there                                  1
continue                               1
an                                     3
special                                1
group                                  1
their                                  2
also                                   1
fringe                                 1
specifically                           1

Totals:                    184       314
